t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514010,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514013,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514016,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514019,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514022,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514025,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514028,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514031,23,0.850087,0.000000,0.000000,0.000000,events/second
1547514034,317,10.542993,0.000000,0.000000,0.000000,events/second
1547514037,317,9.586239,0.000000,0.000000,0.000000,events/second
1547514040,317,8.785350,0.000000,0.000000,0.000000,events/second
1547514043,317,8.109673,0.000000,0.000000,0.000000,events/second
1547514046,317,7.535343,0.000000,0.000000,0.000000,events/second
1547514049,396,8.785719,0.000000,0.000000,0.000000,events/second
1547514052,396,8.237586,0.000000,0.000000,0.000000,events/second
1547514055,396,7.753788,0.000000,0.000000,0.000000,events/second
1547514058,396,7.321166,0.000000,0.000000,0.000000,events/second
1547514061,396,6.938074,0.000000,0.000000,0.000000,events/second
1547514064,396,6.591653,0.000000,0.000000,0.000000,events/second
1547514067,396,6.278057,0.000000,0.000000,0.000000,events/second
1547514070,396,5.993420,0.000000,0.000000,0.000000,events/second
1547514073,396,5.733254,0.000000,0.000000,0.000000,events/second
1547514076,396,5.487630,0.000000,0.000000,0.000000,events/second
1547514079,396,5.274388,0.000000,0.000000,0.000000,events/second
1547514082,396,5.072120,0.000000,0.000000,0.000000,events/second
1547514085,396,4.882323,0.000000,0.000000,0.000000,events/second
1547514088,396,4.705401,0.000000,0.000000,0.000000,events/second
1547514091,396,4.548738,0.000000,0.000000,0.000000,events/second
1547514094,396,4.397657,0.000000,0.000000,0.000000,events/second
1547514097,396,4.252724,0.000000,0.000000,0.000000,events/second
1547514100,396,4.122786,0.000000,0.000000,0.000000,events/second
1547514103,396,3.997065,0.000000,0.000000,0.000000,events/second
1547514106,396,3.879248,0.000000,0.000000,0.000000,events/second
1547514109,396,3.768376,0.000000,0.000000,0.000000,events/second
1547514112,396,3.663891,0.000000,0.000000,0.000000,events/second
