t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514010,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514013,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514016,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514019,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514022,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514025,7,0.332313,0.000000,0.000000,0.000000,events/second
1547514028,7,0.290294,0.000000,0.000000,0.000000,events/second
1547514031,7,0.258650,0.000000,0.000000,0.000000,events/second
1547514034,303,10.075732,0.000000,0.000000,0.000000,events/second
1547514037,303,9.161507,0.000000,0.000000,0.000000,events/second
1547514040,303,8.396180,0.000000,0.000000,0.000000,events/second
1547514043,303,7.750163,0.000000,0.000000,0.000000,events/second
1547514046,303,7.201661,0.000000,0.000000,0.000000,events/second
1547514049,379,8.407571,0.000000,0.000000,0.000000,events/second
1547514052,379,7.882911,0.000000,0.000000,0.000000,events/second
1547514055,379,7.420066,0.000000,0.000000,0.000000,events/second
1547514058,379,7.005391,0.000000,0.000000,0.000000,events/second
1547514061,379,6.639395,0.000000,0.000000,0.000000,events/second
1547514064,379,6.307617,0.000000,0.000000,0.000000,events/second
1547514067,379,6.008089,0.000000,0.000000,0.000000,events/second
1547514070,379,5.735557,0.000000,0.000000,0.000000,events/second
1547514073,379,5.486690,0.000000,0.000000,0.000000,events/second
1547514076,379,5.251244,0.000000,0.000000,0.000000,events/second
1547514079,380,5.060933,0.000000,0.000000,0.000000,events/second
1547514082,380,4.866820,0.000000,0.000000,0.000000,events/second
1547514085,380,4.684649,0.000000,0.000000,0.000000,events/second
1547514088,380,4.514970,0.000000,0.000000,0.000000,events/second
1547514091,380,4.364715,0.000000,0.000000,0.000000,events/second
1547514094,380,4.219759,0.000000,0.000000,0.000000,events/second
1547514097,381,4.091425,0.000000,0.000000,0.000000,events/second
1547514100,381,3.966399,0.000000,0.000000,0.000000,events/second
1547514103,381,3.845215,0.000000,0.000000,0.000000,events/second
1547514106,381,3.732093,0.000000,0.000000,0.000000,events/second
1547514109,381,3.625348,0.000000,0.000000,0.000000,events/second
1547514112,381,3.524913,0.000000,0.000000,0.000000,events/second
