t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514010,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514013,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514016,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514019,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514022,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514025,1,0.047465,0.000000,0.000000,0.000000,events/second
1547514028,1,0.041453,0.000000,0.000000,0.000000,events/second
1547514031,1,0.036937,0.000000,0.000000,0.000000,events/second
1547514034,2,0.066491,0.000000,0.000000,0.000000,events/second
1547514037,2,0.060460,0.000000,0.000000,0.000000,events/second
1547514040,2,0.055409,0.000000,0.000000,0.000000,events/second
1547514043,2,0.051142,0.000000,0.000000,0.000000,events/second
1547514046,2,0.047528,0.000000,0.000000,0.000000,events/second
1547514049,3,0.066538,0.000000,0.000000,0.000000,events/second
1547514052,3,0.062388,0.000000,0.000000,0.000000,events/second
1547514055,3,0.058725,0.000000,0.000000,0.000000,events/second
1547514058,3,0.055439,0.000000,0.000000,0.000000,events/second
1547514061,3,0.052547,0.000000,0.000000,0.000000,events/second
1547514064,3,0.049921,0.000000,0.000000,0.000000,events/second
1547514067,3,0.047552,0.000000,0.000000,0.000000,events/second
1547514070,3,0.045394,0.000000,0.000000,0.000000,events/second
1547514073,3,0.043424,0.000000,0.000000,0.000000,events/second
1547514076,3,0.041561,0.000000,0.000000,0.000000,events/second
1547514079,5,0.066583,0.000000,0.000000,0.000000,events/second
1547514082,5,0.064026,0.000000,0.000000,0.000000,events/second
1547514085,5,0.061633,0.000000,0.000000,0.000000,events/second
1547514088,5,0.059400,0.000000,0.000000,0.000000,events/second
1547514091,5,0.057426,0.000000,0.000000,0.000000,events/second
1547514094,5,0.055519,0.000000,0.000000,0.000000,events/second
1547514097,6,0.064427,0.000000,0.000000,0.000000,events/second
1547514100,6,0.062459,0.000000,0.000000,0.000000,events/second
1547514103,6,0.060549,0.000000,0.000000,0.000000,events/second
1547514106,6,0.058768,0.000000,0.000000,0.000000,events/second
1547514109,6,0.057086,0.000000,0.000000,0.000000,events/second
1547514112,6,0.055507,0.000000,0.000000,0.000000,events/second
