t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514010,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514013,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514016,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514019,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514022,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514025,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514028,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514031,1,0.036912,0.000000,0.000000,0.000000,events/second
1547514034,5,0.166183,0.000000,0.000000,0.000000,events/second
1547514037,5,0.151112,0.000000,0.000000,0.000000,events/second
1547514040,5,0.138494,0.000000,0.000000,0.000000,events/second
1547514043,5,0.127815,0.000000,0.000000,0.000000,events/second
1547514046,5,0.118793,0.000000,0.000000,0.000000,events/second
1547514049,10,0.221754,0.000000,0.000000,0.000000,events/second
1547514052,10,0.207931,0.000000,0.000000,0.000000,events/second
1547514055,10,0.195710,0.000000,0.000000,0.000000,events/second
1547514058,10,0.184756,0.000000,0.000000,0.000000,events/second
1547514061,10,0.175124,0.000000,0.000000,0.000000,events/second
1547514064,10,0.166370,0.000000,0.000000,0.000000,events/second
1547514067,10,0.158485,0.000000,0.000000,0.000000,events/second
1547514070,10,0.151288,0.000000,0.000000,0.000000,events/second
1547514073,10,0.144706,0.000000,0.000000,0.000000,events/second
1547514076,10,0.138495,0.000000,0.000000,0.000000,events/second
1547514079,10,0.133150,0.000000,0.000000,0.000000,events/second
1547514082,10,0.128032,0.000000,0.000000,0.000000,events/second
1547514085,10,0.123246,0.000000,0.000000,0.000000,events/second
1547514088,10,0.118782,0.000000,0.000000,0.000000,events/second
1547514091,10,0.114841,0.000000,0.000000,0.000000,events/second
1547514094,10,0.111021,0.000000,0.000000,0.000000,events/second
1547514097,10,0.107370,0.000000,0.000000,0.000000,events/second
1547514100,10,0.104088,0.000000,0.000000,0.000000,events/second
1547514103,10,0.100902,0.000000,0.000000,0.000000,events/second
1547514106,10,0.097936,0.000000,0.000000,0.000000,events/second
1547514109,10,0.095132,0.000000,0.000000,0.000000,events/second
1547514112,10,0.092496,0.000000,0.000000,0.000000,events/second
