t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514010,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514013,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514016,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514019,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514022,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514025,1,0.047458,0.000000,0.000000,0.000000,events/second
1547514028,1,0.041414,0.000000,0.000000,0.000000,events/second
1547514031,1,0.036910,0.000000,0.000000,0.000000,events/second
1547514034,1,0.033232,0.000000,0.000000,0.000000,events/second
1547514037,1,0.030219,0.000000,0.000000,0.000000,events/second
1547514040,1,0.027695,0.000000,0.000000,0.000000,events/second
1547514043,1,0.025560,0.000000,0.000000,0.000000,events/second
1547514046,1,0.023756,0.000000,0.000000,0.000000,events/second
1547514049,1,0.022173,0.000000,0.000000,0.000000,events/second
1547514052,1,0.020791,0.000000,0.000000,0.000000,events/second
1547514055,1,0.019569,0.000000,0.000000,0.000000,events/second
1547514058,1,0.018474,0.000000,0.000000,0.000000,events/second
1547514061,1,0.017511,0.000000,0.000000,0.000000,events/second
1547514064,1,0.016636,0.000000,0.000000,0.000000,events/second
1547514067,1,0.015847,0.000000,0.000000,0.000000,events/second
1547514070,1,0.015127,0.000000,0.000000,0.000000,events/second
1547514073,1,0.014469,0.000000,0.000000,0.000000,events/second
1547514076,1,0.013848,0.000000,0.000000,0.000000,events/second
1547514079,3,0.039941,0.000000,0.000000,0.000000,events/second
1547514082,3,0.038407,0.000000,0.000000,0.000000,events/second
1547514085,3,0.036966,0.000000,0.000000,0.000000,events/second
1547514088,3,0.035632,0.000000,0.000000,0.000000,events/second
1547514091,3,0.034451,0.000000,0.000000,0.000000,events/second
1547514094,3,0.033303,0.000000,0.000000,0.000000,events/second
1547514097,4,0.042946,0.000000,0.000000,0.000000,events/second
1547514100,4,0.041633,0.000000,0.000000,0.000000,events/second
1547514103,4,0.040358,0.000000,0.000000,0.000000,events/second
1547514106,4,0.039173,0.000000,0.000000,0.000000,events/second
1547514109,4,0.038050,0.000000,0.000000,0.000000,events/second
1547514112,4,0.036996,0.000000,0.000000,0.000000,events/second
