t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514010,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514013,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514016,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514019,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514022,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514025,1,0.047452,0.000000,0.000000,0.000000,events/second
1547514028,1,0.041401,0.000000,0.000000,0.000000,events/second
1547514031,4,0.147598,0.000000,0.000000,0.000000,events/second
1547514034,7,0.232587,0.000000,0.000000,0.000000,events/second
1547514037,7,0.211489,0.000000,0.000000,0.000000,events/second
1547514040,7,0.193838,0.000000,0.000000,0.000000,events/second
1547514043,7,0.178898,0.000000,0.000000,0.000000,events/second
1547514046,7,0.166272,0.000000,0.000000,0.000000,events/second
1547514049,13,0.288219,0.000000,0.000000,0.000000,events/second
1547514052,13,0.270254,0.000000,0.000000,0.000000,events/second
1547514055,13,0.254365,0.000000,0.000000,0.000000,events/second
1547514058,13,0.240125,0.000000,0.000000,0.000000,events/second
1547514061,13,0.227608,0.000000,0.000000,0.000000,events/second
1547514064,13,0.216242,0.000000,0.000000,0.000000,events/second
1547514067,13,0.205999,0.000000,0.000000,0.000000,events/second
1547514070,13,0.196632,0.000000,0.000000,0.000000,events/second
1547514073,13,0.188079,0.000000,0.000000,0.000000,events/second
1547514076,13,0.179996,0.000000,0.000000,0.000000,events/second
1547514079,15,0.199690,0.000000,0.000000,0.000000,events/second
1547514082,15,0.192020,0.000000,0.000000,0.000000,events/second
1547514085,15,0.184819,0.000000,0.000000,0.000000,events/second
1547514088,15,0.178146,0.000000,0.000000,0.000000,events/second
1547514091,15,0.172242,0.000000,0.000000,0.000000,events/second
1547514094,15,0.166501,0.000000,0.000000,0.000000,events/second
1547514097,16,0.171774,0.000000,0.000000,0.000000,events/second
1547514100,16,0.166520,0.000000,0.000000,0.000000,events/second
1547514103,16,0.161419,0.000000,0.000000,0.000000,events/second
1547514106,16,0.156679,0.000000,0.000000,0.000000,events/second
1547514109,16,0.152191,0.000000,0.000000,0.000000,events/second
1547514112,16,0.147975,0.000000,0.000000,0.000000,events/second
