t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514010,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514013,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514016,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514019,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514022,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514025,1,0.047450,0.000000,0.000000,0.000000,events/second
1547514028,1,0.041390,0.000000,0.000000,0.000000,events/second
1547514031,3,0.110671,0.000000,0.000000,0.000000,events/second
1547514034,6,0.199334,0.000000,0.000000,0.000000,events/second
1547514037,6,0.181252,0.000000,0.000000,0.000000,events/second
1547514040,6,0.166127,0.000000,0.000000,0.000000,events/second
1547514043,6,0.153326,0.000000,0.000000,0.000000,events/second
1547514046,6,0.142505,0.000000,0.000000,0.000000,events/second
1547514049,11,0.243846,0.000000,0.000000,0.000000,events/second
1547514052,11,0.228657,0.000000,0.000000,0.000000,events/second
1547514055,11,0.215208,0.000000,0.000000,0.000000,events/second
1547514058,11,0.203160,0.000000,0.000000,0.000000,events/second
1547514061,11,0.192571,0.000000,0.000000,0.000000,events/second
1547514064,11,0.182961,0.000000,0.000000,0.000000,events/second
1547514067,11,0.174290,0.000000,0.000000,0.000000,events/second
1547514070,11,0.166371,0.000000,0.000000,0.000000,events/second
1547514073,11,0.159130,0.000000,0.000000,0.000000,events/second
1547514076,11,0.152290,0.000000,0.000000,0.000000,events/second
1547514079,13,0.173038,0.000000,0.000000,0.000000,events/second
1547514082,13,0.166404,0.000000,0.000000,0.000000,events/second
1547514085,13,0.160167,0.000000,0.000000,0.000000,events/second
1547514088,13,0.154384,0.000000,0.000000,0.000000,events/second
1547514091,13,0.149269,0.000000,0.000000,0.000000,events/second
1547514094,13,0.144292,0.000000,0.000000,0.000000,events/second
1547514097,14,0.150294,0.000000,0.000000,0.000000,events/second
1547514100,14,0.145696,0.000000,0.000000,0.000000,events/second
1547514103,14,0.141232,0.000000,0.000000,0.000000,events/second
1547514106,14,0.137086,0.000000,0.000000,0.000000,events/second
1547514109,14,0.133157,0.000000,0.000000,0.000000,events/second
1547514112,14,0.129471,0.000000,0.000000,0.000000,events/second
