t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514010,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514013,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514016,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514019,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514022,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514025,1,0.047442,0.000000,0.000000,0.000000,events/second
1547514028,1,0.041376,0.000000,0.000000,0.000000,events/second
1547514031,2,0.073755,0.000000,0.000000,0.000000,events/second
1547514034,2,0.066429,0.000000,0.000000,0.000000,events/second
1547514037,2,0.060406,0.000000,0.000000,0.000000,events/second
1547514040,2,0.055365,0.000000,0.000000,0.000000,events/second
1547514043,2,0.051100,0.000000,0.000000,0.000000,events/second
1547514046,2,0.047495,0.000000,0.000000,0.000000,events/second
1547514049,3,0.066493,0.000000,0.000000,0.000000,events/second
1547514052,3,0.062353,0.000000,0.000000,0.000000,events/second
1547514055,3,0.058686,0.000000,0.000000,0.000000,events/second
1547514058,3,0.055400,0.000000,0.000000,0.000000,events/second
1547514061,3,0.052512,0.000000,0.000000,0.000000,events/second
1547514064,3,0.049893,0.000000,0.000000,0.000000,events/second
1547514067,3,0.047528,0.000000,0.000000,0.000000,events/second
1547514070,3,0.045368,0.000000,0.000000,0.000000,events/second
1547514073,3,0.043390,0.000000,0.000000,0.000000,events/second
1547514076,3,0.041526,0.000000,0.000000,0.000000,events/second
1547514079,5,0.066547,0.000000,0.000000,0.000000,events/second
1547514082,5,0.063994,0.000000,0.000000,0.000000,events/second
1547514085,5,0.061597,0.000000,0.000000,0.000000,events/second
1547514088,5,0.059372,0.000000,0.000000,0.000000,events/second
1547514091,5,0.057407,0.000000,0.000000,0.000000,events/second
1547514094,5,0.055490,0.000000,0.000000,0.000000,events/second
1547514097,6,0.064407,0.000000,0.000000,0.000000,events/second
1547514100,6,0.062437,0.000000,0.000000,0.000000,events/second
1547514103,6,0.060524,0.000000,0.000000,0.000000,events/second
1547514106,6,0.058747,0.000000,0.000000,0.000000,events/second
1547514109,6,0.057062,0.000000,0.000000,0.000000,events/second
1547514112,6,0.055484,0.000000,0.000000,0.000000,events/second
