t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,14,3.589256,0.000000,0.000000,0.000000,events/second
1547514010,14,2.206943,0.000000,0.000000,0.000000,events/second
1547514013,14,1.493589,0.000000,0.000000,0.000000,events/second
1547514016,14,1.156910,0.000000,0.000000,0.000000,events/second
1547514019,14,0.926402,0.000000,0.000000,0.000000,events/second
1547514022,14,0.766439,0.000000,0.000000,0.000000,events/second
1547514025,14,0.663049,0.000000,0.000000,0.000000,events/second
1547514028,14,0.578281,0.000000,0.000000,0.000000,events/second
1547514031,14,0.515032,0.000000,0.000000,0.000000,events/second
1547514034,14,0.464377,0.000000,0.000000,0.000000,events/second
1547514037,14,0.422333,0.000000,0.000000,0.000000,events/second
1547514040,14,0.387094,0.000000,0.000000,0.000000,events/second
1547514043,14,0.357217,0.000000,0.000000,0.000000,events/second
1547514046,14,0.332139,0.000000,0.000000,0.000000,events/second
1547514049,14,0.310025,0.000000,0.000000,0.000000,events/second
1547514052,14,0.290730,0.000000,0.000000,0.000000,events/second
1547514055,14,0.273622,0.000000,0.000000,0.000000,events/second
1547514058,14,0.258341,0.000000,0.000000,0.000000,events/second
1547514061,14,0.244873,0.000000,0.000000,0.000000,events/second
1547514064,14,0.232652,0.000000,0.000000,0.000000,events/second
1547514067,14,0.221635,0.000000,0.000000,0.000000,events/second
1547514070,14,0.211555,0.000000,0.000000,0.000000,events/second
1547514073,14,0.202362,0.000000,0.000000,0.000000,events/second
1547514076,14,0.193633,0.000000,0.000000,0.000000,events/second
1547514079,14,0.186211,0.000000,0.000000,0.000000,events/second
1547514082,14,0.179036,0.000000,0.000000,0.000000,events/second
1547514085,14,0.172364,0.000000,0.000000,0.000000,events/second
1547514088,14,0.166152,0.000000,0.000000,0.000000,events/second
1547514091,14,0.160662,0.000000,0.000000,0.000000,events/second
1547514094,14,0.155248,0.000000,0.000000,0.000000,events/second
1547514097,14,0.150216,0.000000,0.000000,0.000000,events/second
1547514100,14,0.145624,0.000000,0.000000,0.000000,events/second
1547514103,14,0.141158,0.000000,0.000000,0.000000,events/second
1547514106,14,0.137015,0.000000,0.000000,0.000000,events/second
1547514109,14,0.133076,0.000000,0.000000,0.000000,events/second
1547514112,14,0.129408,0.000000,0.000000,0.000000,events/second
1547514116,14,0.124866,0.000000,0.000000,0.000000,events/second
1547514118,14,0.122292,0.000000,0.000000,0.000000,events/second
1547514121,14,0.119053,0.000000,0.000000,0.000000,events/second
1547514124,14,0.116374,0.000000,0.000000,0.000000,events/second
1547514127,14,0.113191,0.000000,0.000000,0.000000,events/second
1547514130,14,0.110568,0.000000,0.000000,0.000000,events/second
1547514133,14,0.108094,0.000000,0.000000,0.000000,events/second
1547514136,14,0.105157,0.000000,0.000000,0.000000,events/second
1547514139,14,0.102580,0.000000,0.000000,0.000000,events/second
1547514142,14,0.101247,0.000000,0.000000,0.000000,events/second
1547514145,14,0.099147,0.000000,0.000000,0.000000,events/second
1547514148,14,0.097059,0.000000,0.000000,0.000000,events/second
1547514151,14,0.095083,0.000000,0.000000,0.000000,events/second
1547514154,14,0.093204,0.000000,0.000000,0.000000,events/second
1547514157,14,0.091409,0.000000,0.000000,0.000000,events/second
1547514160,14,0.089637,0.000000,0.000000,0.000000,events/second
1547514163,14,0.087925,0.000000,0.000000,0.000000,events/second
1547514166,14,0.086343,0.000000,0.000000,0.000000,events/second
1547514169,14,0.084759,0.000000,0.000000,0.000000,events/second
1547514172,14,0.083251,0.000000,0.000000,0.000000,events/second
1547514175,14,0.081803,0.000000,0.000000,0.000000,events/second
1547514178,14,0.080375,0.000000,0.000000,0.000000,events/second
1547514181,14,0.079040,0.000000,0.000000,0.000000,events/second
1547514184,14,0.077702,0.000000,0.000000,0.000000,events/second
1547514187,14,0.076441,0.000000,0.000000,0.000000,events/second
1547514190,14,0.075209,0.000000,0.000000,0.000000,events/second
1547514193,14,0.073990,0.000000,0.000000,0.000000,events/second
1547514196,14,0.072857,0.000000,0.000000,0.000000,events/second
1547514199,14,0.071730,0.000000,0.000000,0.000000,events/second
1547514202,14,0.070650,0.000000,0.000000,0.000000,events/second
1547514205,14,0.069574,0.000000,0.000000,0.000000,events/second
1547514208,14,0.068563,0.000000,0.000000,0.000000,events/second
1547514211,14,0.067580,0.000000,0.000000,0.000000,events/second
1547514214,14,0.066601,0.000000,0.000000,0.000000,events/second
1547514218,14,0.065545,0.000000,0.000000,0.000000,events/second
1547514220,14,0.064768,0.000000,0.000000,0.000000,events/second
1547514223,14,0.063857,0.000000,0.000000,0.000000,events/second
1547514226,14,0.063009,0.000000,0.000000,0.000000,events/second
1547514229,14,0.062173,0.000000,0.000000,0.000000,events/second
1547514232,14,0.061365,0.000000,0.000000,0.000000,events/second
1547514235,14,0.060505,0.000000,0.000000,0.000000,events/second
1547514238,14,0.059769,0.000000,0.000000,0.000000,events/second
1547514241,14,0.059023,0.000000,0.000000,0.000000,events/second
1547514244,14,0.058288,0.000000,0.000000,0.000000,events/second
1547514247,14,0.057578,0.000000,0.000000,0.000000,events/second
1547514250,14,0.056875,0.000000,0.000000,0.000000,events/second
1547514253,14,0.056182,0.000000,0.000000,0.000000,events/second
1547514256,14,0.055521,0.000000,0.000000,0.000000,events/second
1547514259,14,0.054865,0.000000,0.000000,0.000000,events/second
1547514262,14,0.054231,0.000000,0.000000,0.000000,events/second
1547514265,14,0.053606,0.000000,0.000000,0.000000,events/second
1547514268,14,0.052978,0.000000,0.000000,0.000000,events/second
1547514271,14,0.052394,0.000000,0.000000,0.000000,events/second
1547514274,14,0.051818,0.000000,0.000000,0.000000,events/second
1547514277,14,0.051255,0.000000,0.000000,0.000000,events/second
1547514280,14,0.050687,0.000000,0.000000,0.000000,events/second
1547514283,14,0.050143,0.000000,0.000000,0.000000,events/second
1547514286,14,0.049591,0.000000,0.000000,0.000000,events/second
1547514289,14,0.049085,0.000000,0.000000,0.000000,events/second
1547514292,14,0.048582,0.000000,0.000000,0.000000,events/second
1547514295,14,0.048088,0.000000,0.000000,0.000000,events/second
1547514298,14,0.047591,0.000000,0.000000,0.000000,events/second
1547514301,14,0.047111,0.000000,0.000000,0.000000,events/second
1547514304,14,0.046645,0.000000,0.000000,0.000000,events/second
1547514307,14,0.046183,0.000000,0.000000,0.000000,events/second
1547514310,14,0.045731,0.000000,0.000000,0.000000,events/second
1547514313,14,0.045281,0.000000,0.000000,0.000000,events/second
1547514316,14,0.044841,0.000000,0.000000,0.000000,events/second
1547514319,14,0.044423,0.000000,0.000000,0.000000,events/second
1547514322,14,0.044003,0.000000,0.000000,0.000000,events/second
1547514325,14,0.043589,0.000000,0.000000,0.000000,events/second
1547514328,14,0.043179,0.000000,0.000000,0.000000,events/second
1547514331,14,0.042792,0.000000,0.000000,0.000000,events/second
1547514334,14,0.042401,0.000000,0.000000,0.000000,events/second
1547514337,14,0.042013,0.000000,0.000000,0.000000,events/second
1547514340,14,0.041644,0.000000,0.000000,0.000000,events/second
1547514343,14,0.041276,0.000000,0.000000,0.000000,events/second
1547514346,14,0.040917,0.000000,0.000000,0.000000,events/second
1547514349,14,0.040563,0.000000,0.000000,0.000000,events/second
1547514352,14,0.040212,0.000000,0.000000,0.000000,events/second
1547514355,14,0.039869,0.000000,0.000000,0.000000,events/second
1547514358,14,0.039515,0.000000,0.000000,0.000000,events/second
1547514361,14,0.039194,0.000000,0.000000,0.000000,events/second
1547514364,14,0.038859,0.000000,0.000000,0.000000,events/second
1547514367,14,0.038552,0.000000,0.000000,0.000000,events/second
1547514370,14,0.038236,0.000000,0.000000,0.000000,events/second
1547514373,14,0.037921,0.000000,0.000000,0.000000,events/second
1547514376,14,0.037620,0.000000,0.000000,0.000000,events/second
1547514379,14,0.037319,0.000000,0.000000,0.000000,events/second
1547514382,14,0.037021,0.000000,0.000000,0.000000,events/second
1547514385,14,0.036730,0.000000,0.000000,0.000000,events/second
1547514388,14,0.036441,0.000000,0.000000,0.000000,events/second
1547514391,14,0.036156,0.000000,0.000000,0.000000,events/second
1547514394,14,0.035879,0.000000,0.000000,0.000000,events/second
1547514397,14,0.035606,0.000000,0.000000,0.000000,events/second
1547514400,14,0.035332,0.000000,0.000000,0.000000,events/second
1547514403,14,0.035067,0.000000,0.000000,0.000000,events/second
1547514406,14,0.034808,0.000000,0.000000,0.000000,events/second
1547514409,14,0.034549,0.000000,0.000000,0.000000,events/second
1547514412,14,0.034297,0.000000,0.000000,0.000000,events/second
1547514415,14,0.034046,0.000000,0.000000,0.000000,events/second
1547514418,14,0.033797,0.000000,0.000000,0.000000,events/second
1547514421,14,0.033556,0.000000,0.000000,0.000000,events/second
1547514424,14,0.033318,0.000000,0.000000,0.000000,events/second
1547514427,14,0.033081,0.000000,0.000000,0.000000,events/second
1547514430,14,0.032841,0.000000,0.000000,0.000000,events/second
1547514433,14,0.032615,0.000000,0.000000,0.000000,events/second
1547514436,14,0.032390,0.000000,0.000000,0.000000,events/second
1547514439,14,0.032168,0.000000,0.000000,0.000000,events/second
1547514442,14,0.031941,0.000000,0.000000,0.000000,events/second
1547514445,14,0.031730,0.000000,0.000000,0.000000,events/second
1547514448,14,0.031494,0.000000,0.000000,0.000000,events/second
1547514451,14,0.031302,0.000000,0.000000,0.000000,events/second
1547514454,14,0.031095,0.000000,0.000000,0.000000,events/second
1547514457,14,0.030890,0.000000,0.000000,0.000000,events/second
1547514460,14,0.030682,0.000000,0.000000,0.000000,events/second
1547514463,14,0.030484,0.000000,0.000000,0.000000,events/second
1547514466,14,0.030287,0.000000,0.000000,0.000000,events/second
1547514469,14,0.030094,0.000000,0.000000,0.000000,events/second
1547514472,14,0.029901,0.000000,0.000000,0.000000,events/second
1547514475,14,0.029709,0.000000,0.000000,0.000000,events/second
1547514478,14,0.029516,0.000000,0.000000,0.000000,events/second
1547514481,14,0.029328,0.000000,0.000000,0.000000,events/second
1547514484,14,0.029141,0.000000,0.000000,0.000000,events/second
