t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,32,8.193416,0.000000,0.000000,0.000000,events/second
1547514010,32,5.036589,0.000000,0.000000,0.000000,events/second
1547514013,32,3.411285,0.000000,0.000000,0.000000,events/second
1547514016,32,2.643351,0.000000,0.000000,0.000000,events/second
1547514019,32,2.116813,0.000000,0.000000,0.000000,events/second
1547514022,32,1.748764,0.000000,0.000000,0.000000,events/second
1547514025,32,1.515188,0.000000,0.000000,0.000000,events/second
1547514028,32,1.321499,0.000000,0.000000,0.000000,events/second
1547514031,32,1.176833,0.000000,0.000000,0.000000,events/second
1547514034,32,1.061266,0.000000,0.000000,0.000000,events/second
1547514037,32,0.965193,0.000000,0.000000,0.000000,events/second
1547514040,32,0.884664,0.000000,0.000000,0.000000,events/second
1547514043,32,0.816356,0.000000,0.000000,0.000000,events/second
1547514046,32,0.759068,0.000000,0.000000,0.000000,events/second
1547514049,32,0.708550,0.000000,0.000000,0.000000,events/second
1547514052,32,0.664444,0.000000,0.000000,0.000000,events/second
1547514055,32,0.625345,0.000000,0.000000,0.000000,events/second
1547514058,32,0.590443,0.000000,0.000000,0.000000,events/second
1547514061,32,0.559664,0.000000,0.000000,0.000000,events/second
1547514064,38,0.631417,0.000000,0.000000,0.000000,events/second
1547514067,38,0.601519,0.000000,0.000000,0.000000,events/second
1547514070,38,0.574154,0.000000,0.000000,0.000000,events/second
1547514073,38,0.549206,0.000000,0.000000,0.000000,events/second
1547514076,38,0.525520,0.000000,0.000000,0.000000,events/second
1547514079,38,0.505400,0.000000,0.000000,0.000000,events/second
1547514082,38,0.485913,0.000000,0.000000,0.000000,events/second
1547514085,38,0.467796,0.000000,0.000000,0.000000,events/second
1547514088,38,0.450947,0.000000,0.000000,0.000000,events/second
1547514091,38,0.436060,0.000000,0.000000,0.000000,events/second
1547514094,38,0.421341,0.000000,0.000000,0.000000,events/second
1547514097,38,0.407707,0.000000,0.000000,0.000000,events/second
1547514100,38,0.395245,0.000000,0.000000,0.000000,events/second
1547514103,38,0.383121,0.000000,0.000000,0.000000,events/second
1547514106,38,0.371882,0.000000,0.000000,0.000000,events/second
1547514109,38,0.361181,0.000000,0.000000,0.000000,events/second
1547514112,38,0.351230,0.000000,0.000000,0.000000,events/second
1547514116,38,0.338900,0.000000,0.000000,0.000000,events/second
1547514118,38,0.331905,0.000000,0.000000,0.000000,events/second
1547514121,38,0.323115,0.000000,0.000000,0.000000,events/second
1547514124,44,0.365726,0.000000,0.000000,0.000000,events/second
