t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,23,5.879347,0.000000,0.000000,0.000000,events/second
1547514010,23,3.615015,0.000000,0.000000,0.000000,events/second
1547514013,23,2.449175,0.000000,0.000000,0.000000,events/second
1547514016,23,1.898745,0.000000,0.000000,0.000000,events/second
1547514019,23,1.520650,0.000000,0.000000,0.000000,events/second
1547514022,23,1.255445,0.000000,0.000000,0.000000,events/second
1547514025,23,1.088730,0.000000,0.000000,0.000000,events/second
1547514028,23,0.949598,0.000000,0.000000,0.000000,events/second
1547514031,23,0.845562,0.000000,0.000000,0.000000,events/second
1547514034,23,0.762633,0.000000,0.000000,0.000000,events/second
1547514037,23,0.693605,0.000000,0.000000,0.000000,events/second
1547514040,23,0.635744,0.000000,0.000000,0.000000,events/second
1547514043,23,0.586644,0.000000,0.000000,0.000000,events/second
1547514046,23,0.545502,0.000000,0.000000,0.000000,events/second
1547514049,23,0.509207,0.000000,0.000000,0.000000,events/second
1547514052,23,0.477511,0.000000,0.000000,0.000000,events/second
1547514055,23,0.449415,0.000000,0.000000,0.000000,events/second
1547514058,23,0.424335,0.000000,0.000000,0.000000,events/second
1547514061,23,0.402212,0.000000,0.000000,0.000000,events/second
1547514064,23,0.382138,0.000000,0.000000,0.000000,events/second
1547514067,23,0.364042,0.000000,0.000000,0.000000,events/second
1547514070,23,0.347471,0.000000,0.000000,0.000000,events/second
1547514073,23,0.332377,0.000000,0.000000,0.000000,events/second
1547514076,23,0.318038,0.000000,0.000000,0.000000,events/second
1547514079,23,0.305871,0.000000,0.000000,0.000000,events/second
1547514082,23,0.294073,0.000000,0.000000,0.000000,events/second
1547514085,23,0.283111,0.000000,0.000000,0.000000,events/second
1547514088,23,0.272915,0.000000,0.000000,0.000000,events/second
1547514091,23,0.263913,0.000000,0.000000,0.000000,events/second
1547514094,23,0.254994,0.000000,0.000000,0.000000,events/second
1547514097,23,0.246755,0.000000,0.000000,0.000000,events/second
1547514100,23,0.239213,0.000000,0.000000,0.000000,events/second
1547514103,23,0.231869,0.000000,0.000000,0.000000,events/second
1547514106,23,0.225073,0.000000,0.000000,0.000000,events/second
1547514109,23,0.218592,0.000000,0.000000,0.000000,events/second
1547514112,23,0.212574,0.000000,0.000000,0.000000,events/second
1547514116,23,0.205109,0.000000,0.000000,0.000000,events/second
1547514118,23,0.200867,0.000000,0.000000,0.000000,events/second
1547514121,23,0.195547,0.000000,0.000000,0.000000,events/second
1547514124,23,0.191158,0.000000,0.000000,0.000000,events/second
1547514127,23,0.185925,0.000000,0.000000,0.000000,events/second
1547514130,23,0.181613,0.000000,0.000000,0.000000,events/second
1547514133,23,0.177547,0.000000,0.000000,0.000000,events/second
1547514136,23,0.172725,0.000000,0.000000,0.000000,events/second
1547514139,23,0.168505,0.000000,0.000000,0.000000,events/second
1547514142,23,0.166314,0.000000,0.000000,0.000000,events/second
1547514145,23,0.162867,0.000000,0.000000,0.000000,events/second
1547514148,23,0.159404,0.000000,0.000000,0.000000,events/second
1547514151,23,0.156190,0.000000,0.000000,0.000000,events/second
1547514154,23,0.153096,0.000000,0.000000,0.000000,events/second
1547514157,23,0.150161,0.000000,0.000000,0.000000,events/second
1547514160,23,0.147245,0.000000,0.000000,0.000000,events/second
1547514163,23,0.144437,0.000000,0.000000,0.000000,events/second
1547514166,23,0.141837,0.000000,0.000000,0.000000,events/second
1547514169,23,0.139235,0.000000,0.000000,0.000000,events/second
1547514172,23,0.136760,0.000000,0.000000,0.000000,events/second
1547514175,23,0.134382,0.000000,0.000000,0.000000,events/second
1547514178,23,0.132036,0.000000,0.000000,0.000000,events/second
1547514181,23,0.129842,0.000000,0.000000,0.000000,events/second
1547514184,23,0.127645,0.000000,0.000000,0.000000,events/second
1547514187,23,0.125574,0.000000,0.000000,0.000000,events/second
1547514190,23,0.123549,0.000000,0.000000,0.000000,events/second
1547514193,23,0.121548,0.000000,0.000000,0.000000,events/second
1547514196,23,0.119686,0.000000,0.000000,0.000000,events/second
1547514199,23,0.117833,0.000000,0.000000,0.000000,events/second
1547514202,23,0.116061,0.000000,0.000000,0.000000,events/second
1547514205,23,0.114292,0.000000,0.000000,0.000000,events/second
1547514208,23,0.112633,0.000000,0.000000,0.000000,events/second
1547514211,23,0.111018,0.000000,0.000000,0.000000,events/second
1547514214,23,0.109409,0.000000,0.000000,0.000000,events/second
1547514218,23,0.107668,0.000000,0.000000,0.000000,events/second
1547514220,23,0.106399,0.000000,0.000000,0.000000,events/second
1547514223,23,0.104897,0.000000,0.000000,0.000000,events/second
1547514226,23,0.103509,0.000000,0.000000,0.000000,events/second
1547514229,23,0.102134,0.000000,0.000000,0.000000,events/second
1547514232,23,0.100808,0.000000,0.000000,0.000000,events/second
1547514235,23,0.099394,0.000000,0.000000,0.000000,events/second
1547514238,23,0.098184,0.000000,0.000000,0.000000,events/second
1547514241,23,0.096962,0.000000,0.000000,0.000000,events/second
1547514244,23,0.095747,0.000000,0.000000,0.000000,events/second
1547514247,23,0.094586,0.000000,0.000000,0.000000,events/second
1547514250,23,0.093433,0.000000,0.000000,0.000000,events/second
1547514253,23,0.092295,0.000000,0.000000,0.000000,events/second
1547514256,23,0.091209,0.000000,0.000000,0.000000,events/second
1547514259,23,0.090131,0.000000,0.000000,0.000000,events/second
1547514262,23,0.089089,0.000000,0.000000,0.000000,events/second
1547514265,23,0.088062,0.000000,0.000000,0.000000,events/second
1547514268,23,0.087031,0.000000,0.000000,0.000000,events/second
1547514271,23,0.086070,0.000000,0.000000,0.000000,events/second
1547514274,23,0.085119,0.000000,0.000000,0.000000,events/second
1547514277,23,0.084200,0.000000,0.000000,0.000000,events/second
1547514280,23,0.083268,0.000000,0.000000,0.000000,events/second
1547514283,23,0.082374,0.000000,0.000000,0.000000,events/second
1547514286,23,0.081466,0.000000,0.000000,0.000000,events/second
1547514289,23,0.080636,0.000000,0.000000,0.000000,events/second
1547514292,23,0.079808,0.000000,0.000000,0.000000,events/second
1547514295,23,0.078998,0.000000,0.000000,0.000000,events/second
1547514298,23,0.078183,0.000000,0.000000,0.000000,events/second
1547514301,23,0.077393,0.000000,0.000000,0.000000,events/second
1547514304,23,0.076629,0.000000,0.000000,0.000000,events/second
1547514307,23,0.075869,0.000000,0.000000,0.000000,events/second
1547514310,23,0.075126,0.000000,0.000000,0.000000,events/second
1547514313,23,0.074388,0.000000,0.000000,0.000000,events/second
1547514316,23,0.073663,0.000000,0.000000,0.000000,events/second
1547514319,23,0.072978,0.000000,0.000000,0.000000,events/second
1547514322,23,0.072288,0.000000,0.000000,0.000000,events/second
1547514325,23,0.071608,0.000000,0.000000,0.000000,events/second
1547514328,23,0.070934,0.000000,0.000000,0.000000,events/second
1547514331,23,0.070298,0.000000,0.000000,0.000000,events/second
1547514334,23,0.069656,0.000000,0.000000,0.000000,events/second
1547514337,23,0.069019,0.000000,0.000000,0.000000,events/second
1547514340,23,0.068411,0.000000,0.000000,0.000000,events/second
1547514343,23,0.067808,0.000000,0.000000,0.000000,events/second
1547514346,23,0.067219,0.000000,0.000000,0.000000,events/second
1547514349,23,0.066637,0.000000,0.000000,0.000000,events/second
1547514352,23,0.066059,0.000000,0.000000,0.000000,events/second
1547514355,23,0.065497,0.000000,0.000000,0.000000,events/second
1547514358,23,0.064913,0.000000,0.000000,0.000000,events/second
1547514361,23,0.064388,0.000000,0.000000,0.000000,events/second
1547514364,23,0.063837,0.000000,0.000000,0.000000,events/second
