t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,69,17.619055,0.000000,0.000000,0.000000,events/second
1547514010,69,10.828464,0.000000,0.000000,0.000000,events/second
1547514013,69,7.341417,0.000000,0.000000,0.000000,events/second
1547514016,69,5.694201,0.000000,0.000000,0.000000,events/second
1547514019,69,4.560264,0.000000,0.000000,0.000000,events/second
1547514022,69,3.764412,0.000000,0.000000,0.000000,events/second
1547514025,69,3.265519,0.000000,0.000000,0.000000,events/second
1547514028,69,2.848345,0.000000,0.000000,0.000000,events/second
1547514031,69,2.536136,0.000000,0.000000,0.000000,events/second
1547514034,69,2.287643,0.000000,0.000000,0.000000,events/second
1547514037,69,2.080564,0.000000,0.000000,0.000000,events/second
1547514040,69,1.906973,0.000000,0.000000,0.000000,events/second
1547514043,69,1.759777,0.000000,0.000000,0.000000,events/second
1547514046,69,1.636366,0.000000,0.000000,0.000000,events/second
1547514049,69,1.527476,0.000000,0.000000,0.000000,events/second
1547514052,69,1.432431,0.000000,0.000000,0.000000,events/second
1547514055,69,1.348153,0.000000,0.000000,0.000000,events/second
1547514058,69,1.272912,0.000000,0.000000,0.000000,events/second
1547514061,69,1.206563,0.000000,0.000000,0.000000,events/second
1547514064,89,1.478610,0.000000,0.000000,0.000000,events/second
1547514067,89,1.408594,0.000000,0.000000,0.000000,events/second
1547514070,89,1.344447,0.000000,0.000000,0.000000,events/second
1547514073,89,1.286054,0.000000,0.000000,0.000000,events/second
1547514076,89,1.230521,0.000000,0.000000,0.000000,events/second
1547514079,89,1.183470,0.000000,0.000000,0.000000,events/second
1547514082,89,1.137415,0.000000,0.000000,0.000000,events/second
1547514085,89,1.095433,0.000000,0.000000,0.000000,events/second
1547514088,89,1.055999,0.000000,0.000000,0.000000,events/second
1547514091,89,1.021182,0.000000,0.000000,0.000000,events/second
1547514094,89,0.986636,0.000000,0.000000,0.000000,events/second
1547514097,89,0.954795,0.000000,0.000000,0.000000,events/second
1547514100,89,0.925613,0.000000,0.000000,0.000000,events/second
1547514103,89,0.897184,0.000000,0.000000,0.000000,events/second
1547514106,89,0.870887,0.000000,0.000000,0.000000,events/second
1547514109,89,0.845809,0.000000,0.000000,0.000000,events/second
1547514112,89,0.822526,0.000000,0.000000,0.000000,events/second
1547514116,89,0.793652,0.000000,0.000000,0.000000,events/second
1547514118,89,0.777197,0.000000,0.000000,0.000000,events/second
1547514121,89,0.756604,0.000000,0.000000,0.000000,events/second
1547514124,109,0.905872,0.000000,0.000000,0.000000,events/second
1547514127,109,0.881053,0.000000,0.000000,0.000000,events/second
1547514130,109,0.860595,0.000000,0.000000,0.000000,events/second
1547514133,109,0.841370,0.000000,0.000000,0.000000,events/second
1547514136,109,0.818504,0.000000,0.000000,0.000000,events/second
1547514139,109,0.798530,0.000000,0.000000,0.000000,events/second
1547514142,109,0.788147,0.000000,0.000000,0.000000,events/second
1547514145,109,0.771706,0.000000,0.000000,0.000000,events/second
1547514148,109,0.755411,0.000000,0.000000,0.000000,events/second
1547514151,109,0.740169,0.000000,0.000000,0.000000,events/second
1547514154,109,0.725514,0.000000,0.000000,0.000000,events/second
1547514157,109,0.711605,0.000000,0.000000,0.000000,events/second
1547514160,109,0.697784,0.000000,0.000000,0.000000,events/second
1547514163,109,0.684490,0.000000,0.000000,0.000000,events/second
1547514166,109,0.672168,0.000000,0.000000,0.000000,events/second
1547514169,109,0.659837,0.000000,0.000000,0.000000,events/second
1547514172,109,0.648108,0.000000,0.000000,0.000000,events/second
1547514175,109,0.636827,0.000000,0.000000,0.000000,events/second
1547514178,109,0.625723,0.000000,0.000000,0.000000,events/second
1547514181,109,0.615327,0.000000,0.000000,0.000000,events/second
1547514184,129,0.715908,0.000000,0.000000,0.000000,events/second
1547514187,129,0.704295,0.000000,0.000000,0.000000,events/second
1547514190,129,0.692933,0.000000,0.000000,0.000000,events/second
1547514193,129,0.681709,0.000000,0.000000,0.000000,events/second
1547514196,129,0.671266,0.000000,0.000000,0.000000,events/second
1547514199,129,0.660869,0.000000,0.000000,0.000000,events/second
1547514202,129,0.650935,0.000000,0.000000,0.000000,events/second
1547514205,129,0.641014,0.000000,0.000000,0.000000,events/second
