t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,52,13.262042,0.000000,0.000000,0.000000,events/second
1547514010,52,8.152258,0.000000,0.000000,0.000000,events/second
1547514013,52,5.507814,0.000000,0.000000,0.000000,events/second
1547514016,52,4.289406,0.000000,0.000000,0.000000,events/second
1547514019,52,3.435352,0.000000,0.000000,0.000000,events/second
1547514022,52,2.835760,0.000000,0.000000,0.000000,events/second
1547514025,52,2.460422,0.000000,0.000000,0.000000,events/second
1547514028,52,2.146202,0.000000,0.000000,0.000000,events/second
1547514031,52,1.910748,0.000000,0.000000,0.000000,events/second
1547514034,52,1.723772,0.000000,0.000000,0.000000,events/second
1547514037,52,1.567760,0.000000,0.000000,0.000000,events/second
1547514040,52,1.436946,0.000000,0.000000,0.000000,events/second
1547514043,52,1.326072,0.000000,0.000000,0.000000,events/second
1547514046,52,1.233081,0.000000,0.000000,0.000000,events/second
1547514049,52,1.151039,0.000000,0.000000,0.000000,events/second
1547514052,52,1.079421,0.000000,0.000000,0.000000,events/second
1547514055,52,1.015912,0.000000,0.000000,0.000000,events/second
1547514058,52,0.959222,0.000000,0.000000,0.000000,events/second
1547514061,52,0.909224,0.000000,0.000000,0.000000,events/second
1547514064,58,0.963511,0.000000,0.000000,0.000000,events/second
1547514067,58,0.917902,0.000000,0.000000,0.000000,events/second
1547514070,58,0.876049,0.000000,0.000000,0.000000,events/second
1547514073,58,0.838029,0.000000,0.000000,0.000000,events/second
1547514076,58,0.801832,0.000000,0.000000,0.000000,events/second
1547514079,58,0.771192,0.000000,0.000000,0.000000,events/second
1547514082,58,0.741065,0.000000,0.000000,0.000000,events/second
1547514085,58,0.713743,0.000000,0.000000,0.000000,events/second
1547514088,58,0.688128,0.000000,0.000000,0.000000,events/second
1547514091,58,0.665456,0.000000,0.000000,0.000000,events/second
1547514094,58,0.642722,0.000000,0.000000,0.000000,events/second
1547514097,58,0.622198,0.000000,0.000000,0.000000,events/second
1547514100,58,0.603183,0.000000,0.000000,0.000000,events/second
1547514103,58,0.584604,0.000000,0.000000,0.000000,events/second
1547514106,58,0.567521,0.000000,0.000000,0.000000,events/second
1547514109,58,0.551162,0.000000,0.000000,0.000000,events/second
1547514112,58,0.536001,0.000000,0.000000,0.000000,events/second
1547514116,58,0.517184,0.000000,0.000000,0.000000,events/second
1547514118,58,0.506447,0.000000,0.000000,0.000000,events/second
1547514121,58,0.492985,0.000000,0.000000,0.000000,events/second
1547514124,64,0.531859,0.000000,0.000000,0.000000,events/second
1547514127,64,0.517270,0.000000,0.000000,0.000000,events/second
1547514130,64,0.505260,0.000000,0.000000,0.000000,events/second
1547514133,64,0.493980,0.000000,0.000000,0.000000,events/second
1547514136,64,0.480561,0.000000,0.000000,0.000000,events/second
1547514139,64,0.468839,0.000000,0.000000,0.000000,events/second
1547514142,64,0.462739,0.000000,0.000000,0.000000,events/second
