t,value
1547514008,5.9372765454343634E-5
1547514010,5.9372765454343634E-5
1547514013,5.9372765454343634E-5
1547514016,5.9372765454343634E-5
1547514019,5.9372765454343634E-5
1547514022,5.9372765454343634E-5
1547514025,5.9372765454343634E-5
1547514028,5.9372765454343634E-5
1547514031,5.9372765454343634E-5
1547514034,5.9372765454343634E-5
1547514037,5.9372765454343634E-5
1547514040,5.9372765454343634E-5
1547514043,5.9372765454343634E-5
1547514046,5.9372765454343634E-5
1547514049,5.9372765454343634E-5
1547514052,5.9372765454343634E-5
1547514055,5.9372765454343634E-5
1547514058,5.9372765454343634E-5
1547514061,5.9372765454343634E-5
1547514064,5.9372765454343634E-5
1547514067,5.9372765454343634E-5
1547514070,5.9372765454343634E-5
1547514073,5.9372765454343634E-5
1547514076,5.9372765454343634E-5
1547514079,5.9372765454343634E-5
1547514082,5.9372765454343634E-5
1547514085,5.9372765454343634E-5
1547514088,5.9372765454343634E-5
1547514091,5.9372765454343634E-5
1547514094,5.9372765454343634E-5
1547514097,5.9372765454343634E-5
1547514100,5.9372765454343634E-5
1547514103,5.9372765454343634E-5
1547514106,5.9372765454343634E-5
1547514109,5.9372765454343634E-5
1547514112,5.9372765454343634E-5
1547514116,5.9372765454343634E-5
1547514118,5.9372765454343634E-5
1547514121,5.9372765454343634E-5
1547514124,5.9372765454343634E-5
1547514127,5.9372765454343634E-5
1547514130,5.9372765454343634E-5
1547514133,5.9372765454343634E-5
1547514136,5.9372765454343634E-5
1547514139,5.9372765454343634E-5
1547514142,5.9372765454343634E-5
1547514145,5.9372765454343634E-5
1547514148,5.9372765454343634E-5
1547514151,5.9372765454343634E-5
1547514154,5.9372765454343634E-5
1547514157,5.9372765454343634E-5
1547514160,5.9372765454343634E-5
1547514163,5.9372765454343634E-5
1547514166,5.9372765454343634E-5
1547514169,5.9372765454343634E-5
1547514172,5.9372765454343634E-5
1547514175,5.9372765454343634E-5
1547514178,5.9372765454343634E-5
1547514181,5.9372765454343634E-5
1547514184,5.9372765454343634E-5
1547514187,5.9372765454343634E-5
1547514190,5.9372765454343634E-5
1547514193,5.9372765454343634E-5
1547514196,5.9372765454343634E-5
1547514199,5.9372765454343634E-5
1547514202,5.9372765454343634E-5
1547514205,5.9372765454343634E-5
1547514208,5.9372765454343634E-5
1547514211,5.9372765454343634E-5
1547514214,5.9372765454343634E-5
1547514218,5.9372765454343634E-5
1547514220,5.9372765454343634E-5
1547514223,5.9372765454343634E-5
1547514226,5.9372765454343634E-5
1547514229,5.9372765454343634E-5
1547514232,5.9372765454343634E-5
1547514235,5.9372765454343634E-5
1547514238,5.9372765454343634E-5
1547514241,5.9372765454343634E-5
1547514244,5.9372765454343634E-5
1547514247,5.9372765454343634E-5
1547514250,5.9372765454343634E-5
1547514253,5.9372765454343634E-5
1547514256,5.9372765454343634E-5
1547514259,5.9372765454343634E-5
1547514262,5.9372765454343634E-5
1547514265,5.9372765454343634E-5
1547514268,5.9372765454343634E-5
1547514271,5.9372765454343634E-5
1547514274,5.9372765454343634E-5
1547514277,5.9372765454343634E-5
1547514280,5.9372765454343634E-5
1547514283,5.9372765454343634E-5
1547514286,5.9372765454343634E-5
1547514289,5.9372765454343634E-5
1547514292,5.9372765454343634E-5
1547514295,5.9372765454343634E-5
1547514298,5.9372765454343634E-5
1547514301,5.9372765454343634E-5
1547514304,5.9372765454343634E-5
1547514307,5.9372765454343634E-5
1547514310,5.9372765454343634E-5
1547514313,5.9372765454343634E-5
1547514316,5.9372765454343634E-5
1547514319,5.9372765454343634E-5
1547514322,5.9372765454343634E-5
1547514325,5.9372765454343634E-5
1547514328,5.9372765454343634E-5
1547514331,5.9372765454343634E-5
1547514334,5.9372765454343634E-5
1547514337,5.9372765454343634E-5
1547514340,5.9372765454343634E-5
1547514343,5.9372765454343634E-5
1547514346,5.9372765454343634E-5
1547514349,5.9372765454343634E-5
1547514352,5.9372765454343634E-5
1547514355,5.9372765454343634E-5
1547514358,5.9372765454343634E-5
1547514361,5.9372765454343634E-5
1547514364,5.9372765454343634E-5
1547514367,5.9372765454343634E-5
1547514370,5.9372765454343634E-5
1547514373,5.9372765454343634E-5
1547514376,5.9372765454343634E-5
1547514379,5.9372765454343634E-5
1547514382,5.9372765454343634E-5
1547514385,5.9372765454343634E-5
1547514388,5.9372765454343634E-5
1547514391,5.9372765454343634E-5
1547514394,5.9372765454343634E-5
1547514397,5.9372765454343634E-5
1547514400,5.9372765454343634E-5
1547514403,5.9372765454343634E-5
1547514406,5.9372765454343634E-5
1547514409,5.9372765454343634E-5
1547514412,5.9372765454343634E-5
1547514415,5.9372765454343634E-5
1547514418,5.9372765454343634E-5
1547514421,5.9372765454343634E-5
1547514424,5.9372765454343634E-5
1547514427,5.9372765454343634E-5
1547514430,5.9372765454343634E-5
1547514433,5.9372765454343634E-5
1547514436,5.9372765454343634E-5
1547514439,5.9372765454343634E-5
1547514442,5.9372765454343634E-5
1547514445,5.9372765454343634E-5
1547514448,5.9372765454343634E-5
1547514451,5.9372765454343634E-5
1547514454,5.9372765454343634E-5
1547514457,5.9372765454343634E-5
1547514460,5.9372765454343634E-5
1547514463,5.9372765454343634E-5
1547514466,5.9372765454343634E-5
1547514469,5.9372765454343634E-5
1547514472,5.9372765454343634E-5
1547514475,5.9372765454343634E-5
1547514478,5.9372765454343634E-5
1547514481,5.9372765454343634E-5
1547514484,5.9372765454343634E-5
1547514487,5.9372765454343634E-5
1547514490,5.9372765454343634E-5
1547514493,5.9372765454343634E-5
1547514496,5.9372765454343634E-5
1547514499,5.9372765454343634E-5
1547514502,5.9372765454343634E-5
1547514505,5.9372765454343634E-5
1547514508,5.9372765454343634E-5
1547514511,5.9372765454343634E-5
1547514514,5.9372765454343634E-5
1547514517,5.9372765454343634E-5
1547514520,5.9372765454343634E-5
1547514523,5.9372765454343634E-5
1547514526,5.9372765454343634E-5
1547514529,5.9372765454343634E-5
1547514532,5.9372765454343634E-5
1547514535,5.9372765454343634E-5
1547514538,5.9372765454343634E-5
1547514541,5.9372765454343634E-5
1547514544,5.9372765454343634E-5
1547514547,5.9372765454343634E-5
1547514550,5.9372765454343634E-5
1547514553,5.9372765454343634E-5
1547514556,5.9372765454343634E-5
1547514559,5.9372765454343634E-5
1547514562,5.9372765454343634E-5
1547514565,5.9372765454343634E-5
1547514568,5.9372765454343634E-5
1547514571,5.9372765454343634E-5
1547514574,5.9372765454343634E-5
1547514577,5.9372765454343634E-5
1547514580,5.9372765454343634E-5
1547514583,5.9372765454343634E-5
1547514586,5.9372765454343634E-5
1547514589,5.9372765454343634E-5
1547514592,5.9372765454343634E-5
1547514595,5.9372765454343634E-5
1547514598,5.9372765454343634E-5
1547514601,5.9372765454343634E-5
1547514604,5.9372765454343634E-5
1547514607,5.9372765454343634E-5
1547514610,5.9372765454343634E-5
1547514613,5.9372765454343634E-5
1547514616,5.9372765454343634E-5
1547514619,5.9372765454343634E-5
1547514622,5.9372765454343634E-5
1547514625,5.9372765454343634E-5
1547514628,5.9372765454343634E-5
1547514631,5.9372765454343634E-5
1547514634,5.9372765454343634E-5
1547514637,5.9372765454343634E-5
1547514640,5.9372765454343634E-5
1547514643,5.9372765454343634E-5
1547514646,5.9372765454343634E-5
1547514649,5.9372765454343634E-5
1547514652,5.9372765454343634E-5
1547514655,5.9372765454343634E-5
1547514658,5.9372765454343634E-5
1547514661,5.9372765454343634E-5
1547514664,5.9372765454343634E-5
1547514667,5.9372765454343634E-5
1547514670,5.9372765454343634E-5
1547514673,5.9372765454343634E-5
1547514676,5.9372765454343634E-5
1547514679,5.9372765454343634E-5
1547514682,5.9372765454343634E-5
1547514685,5.9372765454343634E-5
1547514688,5.9372765454343634E-5
1547514691,5.9372765454343634E-5
1547514694,5.9372765454343634E-5
1547514697,5.9372765454343634E-5
1547514700,5.9372765454343634E-5
1547514703,5.9372765454343634E-5
1547514706,5.9372765454343634E-5
1547514709,5.9372765454343634E-5
1547514712,5.9372765454343634E-5
1547514715,5.9372765454343634E-5
1547514718,5.9372765454343634E-5
1547514721,5.9372765454343634E-5
1547514724,5.9372765454343634E-5
1547514727,5.9372765454343634E-5
1547514730,5.9372765454343634E-5
1547514733,5.9372765454343634E-5
1547514736,5.9372765454343634E-5
1547514739,5.9372765454343634E-5
1547514742,5.9372765454343634E-5
1547514745,5.9372765454343634E-5
1547514748,5.9372765454343634E-5
1547514751,5.9372765454343634E-5
1547514754,5.9372765454343634E-5
1547514757,5.9372765454343634E-5
1547514760,5.9372765454343634E-5
1547514763,5.9372765454343634E-5
1547514766,5.9372765454343634E-5
1547514769,5.9372765454343634E-5
1547514772,5.9372765454343634E-5
1547514775,5.9372765454343634E-5
1547514778,5.9372765454343634E-5
1547514781,5.9372765454343634E-5
1547514784,5.9372765454343634E-5
1547514787,5.9372765454343634E-5
1547514790,5.9372765454343634E-5
1547514793,5.9372765454343634E-5
1547514796,5.9372765454343634E-5
1547514799,5.9372765454343634E-5
1547514802,5.9372765454343634E-5
1547514805,5.9372765454343634E-5
1547514808,5.9372765454343634E-5
1547514811,5.9372765454343634E-5
1547514814,5.9372765454343634E-5
1547514817,5.9372765454343634E-5
1547514820,5.9372765454343634E-5
1547514823,5.9372765454343634E-5
1547514826,5.9372765454343634E-5
1547514829,5.9372765454343634E-5
1547514832,5.9372765454343634E-5
1547514835,5.9372765454343634E-5
1547514838,5.9372765454343634E-5
1547514841,5.9372765454343634E-5
1547514844,5.9372765454343634E-5
1547514847,5.9372765454343634E-5
1547514850,5.9372765454343634E-5
1547514853,5.9372765454343634E-5
1547514856,5.9372765454343634E-5
1547514859,5.9372765454343634E-5
1547514862,5.9372765454343634E-5
1547514865,5.9372765454343634E-5
1547514868,5.9372765454343634E-5
1547514871,5.9372765454343634E-5
1547514874,5.9372765454343634E-5
1547514877,5.9372765454343634E-5
1547514880,5.9372765454343634E-5
1547514883,5.9372765454343634E-5
1547514886,5.9372765454343634E-5
1547514889,5.9372765454343634E-5
1547514892,5.9372765454343634E-5
1547514895,5.9372765454343634E-5
1547514898,5.9372765454343634E-5
1547514901,5.9372765454343634E-5
1547514904,5.9372765454343634E-5
1547514907,5.9372765454343634E-5
1547514910,5.9372765454343634E-5
1547514913,5.9372765454343634E-5
1547514916,5.9372765454343634E-5
1547514919,5.9372765454343634E-5
1547514922,5.9372765454343634E-5
1547514925,5.9372765454343634E-5
1547514928,5.9372765454343634E-5
1547514931,5.9372765454343634E-5
1547514934,5.9372765454343634E-5
1547514937,5.9372765454343634E-5
1547514940,5.9372765454343634E-5
1547514943,5.9372765454343634E-5
1547514946,5.9372765454343634E-5
1547514949,5.9372765454343634E-5
1547514952,5.9372765454343634E-5
1547514955,5.9372765454343634E-5
1547514958,5.9372765454343634E-5
1547514961,5.9372765454343634E-5
1547514964,5.9372765454343634E-5
1547514967,5.9372765454343634E-5
1547514970,5.9372765454343634E-5
1547514973,5.9372765454343634E-5
1547514976,5.9372765454343634E-5
1547514979,5.9372765454343634E-5
1547514982,5.9372765454343634E-5
1547514985,5.9372765454343634E-5
1547514988,5.9372765454343634E-5
1547514991,5.9372765454343634E-5
1547514994,5.9372765454343634E-5
1547514997,5.9372765454343634E-5
1547515000,5.9372765454343634E-5
1547515003,5.9372765454343634E-5
1547515006,5.9372765454343634E-5
1547515009,5.9372765454343634E-5
1547515012,5.9372765454343634E-5
1547515015,5.9372765454343634E-5
1547515018,5.9372765454343634E-5
1547515021,5.9372765454343634E-5
1547515024,5.9372765454343634E-5
1547515027,5.9372765454343634E-5
1547515030,5.9372765454343634E-5
1547515033,5.9372765454343634E-5
1547515036,5.9372765454343634E-5
1547515039,5.9372765454343634E-5
1547515042,5.9372765454343634E-5
1547515045,5.9372765454343634E-5
1547515048,5.9372765454343634E-5
1547515051,5.9372765454343634E-5
1547515054,5.9372765454343634E-5
1547515057,5.9372765454343634E-5
1547515060,5.9372765454343634E-5
1547515063,5.9372765454343634E-5
1547515066,5.9372765454343634E-5
1547515069,5.9372765454343634E-5
1547515072,5.9372765454343634E-5
1547515075,5.9372765454343634E-5
1547515078,5.9372765454343634E-5
1547515081,5.9372765454343634E-5
1547515084,5.9372765454343634E-5
1547515087,5.9372765454343634E-5
1547515090,5.9372765454343634E-5
1547515093,5.9372765454343634E-5
1547515096,5.9372765454343634E-5
1547515099,5.9372765454343634E-5
1547515102,5.9372765454343634E-5
1547515105,5.9372765454343634E-5
1547515108,5.9372765454343634E-5
1547515111,5.9372765454343634E-5
1547515114,5.9372765454343634E-5
1547515117,5.9372765454343634E-5
1547515120,5.9372765454343634E-5
1547515123,5.9372765454343634E-5
1547515126,5.9372765454343634E-5
1547515129,5.9372765454343634E-5
1547515132,5.9372765454343634E-5
