t,value
1547514008,-1
1547514010,-1
1547514013,8
1547514016,8
1547514019,8
1547514022,10
1547514025,10
1547514028,10
1547514031,10
1547514034,10
1547514037,10
1547514040,10
1547514043,10
1547514046,10
1547514049,10
1547514052,10
1547514055,10
1547514058,10
1547514061,10
1547514064,10
1547514067,10
1547514070,10
1547514073,10
1547514076,11
1547514079,11
1547514082,11
1547514085,11
1547514088,11
1547514091,11
1547514094,11
1547514097,11
1547514100,11
1547514103,11
1547514106,11
1547514109,11
1547514112,11
1547514116,11
1547514118,11
1547514121,11
1547514124,11
1547514127,11
1547514130,11
1547514133,11
1547514136,11
1547514139,11
1547514142,11
1547514145,11
1547514148,11
1547514151,11
1547514154,11
1547514157,11
1547514160,11
1547514163,11
1547514166,11
1547514169,11
1547514172,11
1547514175,11
1547514178,11
1547514181,11
1547514184,11
1547514187,10
1547514190,10
1547514193,10
1547514196,10
1547514199,10
1547514202,10
1547514205,10
1547514208,10
1547514211,10
1547514214,10
1547514218,10
1547514220,10
1547514223,10
1547514226,10
1547514229,10
1547514232,10
1547514235,10
1547514238,10
1547514241,10
1547514244,10
1547514247,10
1547514250,10
1547514253,10
1547514256,10
1547514259,10
1547514262,10
1547514265,10
1547514268,10
1547514271,10
1547514274,10
1547514277,9
1547514280,9
1547514283,9
1547514286,9
1547514289,9
1547514292,9
1547514295,9
1547514298,9
1547514301,9
1547514304,9
1547514307,9
1547514310,9
1547514313,9
1547514316,9
1547514319,9
1547514322,9
1547514325,9
1547514328,9
1547514331,9
1547514334,9
1547514337,8
1547514340,8
1547514343,8
1547514346,8
1547514349,8
1547514352,8
1547514355,8
1547514358,8
1547514361,8
1547514364,8
1547514367,8
1547514370,8
1547514373,8
1547514376,8
1547514379,8
1547514382,8
1547514385,8
1547514388,8
1547514391,8
1547514394,8
1547514397,8
1547514400,8
1547514403,8
1547514406,8
1547514409,8
1547514412,8
1547514415,8
1547514418,8
1547514421,8
1547514424,8
1547514427,8
1547514430,8
1547514433,8
1547514436,8
1547514439,8
1547514442,8
1547514445,8
1547514448,8
1547514451,8
1547514454,8
1547514457,8
1547514460,8
1547514463,8
1547514466,8
1547514469,8
1547514472,8
1547514475,8
1547514478,8
1547514481,8
1547514484,8
1547514487,8
1547514490,8
1547514493,8
1547514496,8
1547514499,8
1547514502,8
1547514505,8
1547514508,8
1547514511,8
1547514514,8
1547514517,8
1547514520,8
1547514523,8
1547514526,8
1547514529,8
1547514532,8
1547514535,8
1547514538,8
1547514541,8
1547514544,8
1547514547,8
1547514550,8
1547514553,8
1547514556,8
1547514559,8
1547514562,8
1547514565,8
1547514568,8
1547514571,8
1547514574,8
1547514577,8
1547514580,8
1547514583,8
1547514586,8
1547514589,8
1547514592,8
1547514595,8
1547514598,8
1547514601,8
1547514604,8
1547514607,8
1547514610,8
1547514613,8
1547514616,8
1547514619,8
1547514622,8
1547514625,8
1547514628,8
1547514631,8
1547514634,8
1547514637,8
1547514640,8
1547514643,8
1547514646,8
1547514649,8
1547514652,8
1547514655,8
1547514658,8
1547514661,8
1547514664,8
1547514667,8
1547514670,8
1547514673,8
1547514676,8
1547514679,8
1547514682,8
1547514685,8
1547514688,8
1547514691,8
1547514694,8
1547514697,8
1547514700,8
1547514703,8
1547514706,8
1547514709,8
1547514712,8
1547514715,8
1547514718,8
1547514721,8
1547514724,8
1547514727,8
1547514730,8
1547514733,8
1547514736,8
1547514739,8
1547514742,8
1547514745,8
1547514748,8
1547514751,8
1547514754,8
1547514757,8
1547514760,8
1547514763,8
1547514766,8
1547514769,8
1547514772,8
1547514775,8
1547514778,8
1547514781,8
1547514784,8
1547514787,8
1547514790,8
1547514793,8
1547514796,8
1547514799,8
1547514802,8
1547514805,8
1547514808,8
1547514811,8
1547514814,8
1547514817,8
1547514820,8
1547514823,8
1547514826,8
1547514829,8
1547514832,8
1547514835,8
1547514838,8
1547514841,8
1547514844,8
1547514847,8
1547514850,8
1547514853,8
1547514856,8
1547514859,8
1547514862,8
1547514865,8
1547514868,8
1547514871,8
1547514874,8
1547514877,8
1547514880,8
1547514883,8
1547514886,8
1547514889,8
1547514892,8
1547514895,8
1547514898,8
1547514901,8
1547514904,8
1547514907,8
1547514910,8
1547514913,8
1547514916,8
1547514919,8
1547514922,8
1547514925,8
1547514928,8
1547514931,8
1547514934,8
1547514937,8
1547514940,8
1547514943,8
1547514946,8
1547514949,8
1547514952,8
1547514955,8
1547514958,8
1547514961,8
1547514964,8
1547514967,8
1547514970,8
1547514973,8
1547514976,8
1547514979,8
1547514982,8
1547514985,8
1547514988,8
1547514991,8
1547514994,8
1547514997,8
1547515000,8
1547515003,8
1547515006,8
1547515009,8
1547515012,8
1547515015,8
1547515018,8
1547515021,8
1547515024,8
1547515027,8
1547515030,8
1547515033,8
1547515036,8
1547515039,8
1547515042,8
1547515045,8
1547515048,8
1547515051,8
1547515054,8
1547515057,8
1547515060,8
1547515063,8
1547515066,8
1547515069,8
1547515072,8
1547515075,8
1547515078,8
1547515081,8
1547515084,8
1547515087,8
1547515090,8
1547515093,8
1547515096,8
1547515099,8
1547515102,8
1547515105,8
1547515108,8
1547515111,8
1547515114,8
1547515117,8
1547515120,8
1547515123,8
1547515126,8
1547515129,8
1547515132,8
1547515135,8
1547515138,8
1547515141,8
1547573728,8
1547573729,8
1547573730,8
1547573731,8
1547573731,8
1547573732,8
1547573733,8
1547573733,8
1547573734,8
1547573734,8
1547573735,8
1547573735,8
1547573736,8
1547573736,8
1547573737,8
1547573737,8
1547573738,8
1547573738,8
1547573739,8
1547573739,8
1547573740,8
1547573740,8
1547573741,8
1547573741,8
1547573742,8
1547573742,8
1547573743,8
1547573743,8
1547573744,8
1547573744,8
1547573745,8
1547573745,8
1547573746,8
1547573746,8
1547573747,8
1547573748,8
1547573748,8
1547573749,8
1547573749,8
1547573750,8
1547573750,8
1547573751,8
1547573751,8
1547573751,8
1547573752,8
1547573752,8
1547573753,8
1547573753,8
1547573754,8
1547573754,8
1547573755,8
1547573755,8
1547573756,8
1547573756,8
1547573757,8
1547573757,8
1547573758,8
1547573758,8
1547573759,8
1547573759,8
1547573760,8
1547573760,8
1547573761,8
1547573761,8
1547573762,8
1547573762,8
1547573763,8
1547573763,8
1547573764,8
1547573764,8
1547573765,8
1547573766,8
1547573766,8
1547573767,8
1547573767,8
1547573768,8
1547573769,8
1547573769,8
1547573770,8
1547573770,8
1547573771,8
1547573772,8
1547573772,8
1547573773,8
1547573774,8
1547573774,8
1547573775,8
1547573775,8
1547573776,8
1547573776,8
1547573777,8
1547573777,8
1547573778,8
1547573779,8
1547573779,8
1547573780,8
1547573780,8
1547573780,8
1547573781,8
1547573781,8
1547573782,8
1547573782,8
1547573782,8
1547573783,8
1547573783,8
1547573784,8
1547573785,8
1547573785,8
1547573785,8
1547573786,8
1547573786,8
1547573787,8
1547573787,8
1547573788,8
1547573788,8
1547573788,8
1547573789,8
1547573789,8
1547573790,8
1547573790,8
1547573790,8
1547573791,8
1547573791,8
1547573792,8
1547573792,8
1547573792,8
1547573793,8
1547573793,8
1547573794,8
1547573795,8
1547573795,8
1547573795,8
1547573796,8
1547573796,8
1547573797,8
1547573797,8
1547573797,8
1547573798,8
1547573798,8
1547573799,8
1547573799,8
1547573799,8
1547573800,8
1547573800,8
1547573800,8
1547573801,8
1547573801,8
1547573802,8
1547573802,8
1547573802,8
1547573803,8
1547573803,8
1547573804,8
1547573804,8
1547573804,8
1547573805,8
1547573805,8
1547573806,8
1547573806,8
1547573806,8
1547573807,8
1547573807,8
1547573808,8
1547573808,8
1547573808,8
1547573809,8
1547573810,8
1547573810,8
1547573810,8
1547573811,8
1547573811,8
1547573812,8
1547573812,8
1547573812,8
1547573813,8
1547573813,8
1547573814,8
1547573814,8
1547573814,8
1547573815,8
1547573815,8
1547573816,8
1547573816,8
1547573816,8
1547573817,8
1547573817,8
1547573818,8
1547573818,8
1547573818,8
1547573819,8
1547573819,8
1547573820,8
1547573820,8
1547573821,8
1547573821,8
1547573822,8
1547573822,8
1547573822,8
1547573823,8
1547573823,8
1547573824,8
1547573824,8
1547573825,8
1547573825,8
1547573825,8
1547573826,8
1547573826,8
1547573827,8
1547573827,8
1547573827,8
1547573828,8
1547573828,8
1547573829,8
1547573829,8
1547573830,8
1547573830,8
1547573831,8
1547573831,8
1547573831,8
1547573832,8
1547573832,8
1547573833,8
1547573833,8
1547573834,8
1547573834,8
1547573834,8
1547573835,8
1547573835,8
1547573836,8
1547573836,8
1547573837,8
1547573837,8
1547573838,8
1547573838,8
1547573839,8
1547573839,8
1547573839,8
1547573840,8
1547573840,8
1547573841,8
1547573841,8
1547573842,8
1547573842,8
1547573843,8
1547573843,8
1547573843,8
1547573844,8
1547573844,8
1547573845,8
1547573845,8
1547573846,8
1547573846,8
1547573847,8
1547573847,8
1547573848,8
1547573848,8
1547573849,8
1547573849,8
1547573849,8
1547573850,8
1547573850,8
1547573851,8
1547573851,8
1547573852,8
1547573853,8
1547573853,8
1547573853,8
1547573854,8
1547573854,8
1547573855,8
1547573855,8
1547573856,8
1547573856,8
1547573857,8
1547573857,8
1547573858,8
1547573858,8
1547573859,8
1547573859,8
1547573860,8
1547573860,8
1547573861,8
1547573861,8
1547573862,8
1547573862,8
1547573863,8
1547573863,8
1547573863,8
1547573864,8
1547573864,8
1547573865,8
1547573865,8
1547573866,8
1547573866,8
1547573867,8
1547573867,8
1547573868,8
1547573868,8
1547573868,8
1547573869,8
1547573869,8
1547573870,8
1547573870,8
1547573871,8
1547573871,8
1547573872,8
1547573872,8
1547573873,8
1547573873,8
1547573874,8
1547573874,8
1547573874,8
1547573875,8
1547573875,8
1547573876,8
1547573876,8
1547573877,8
1547573877,8
1547573878,8
1547573878,8
1547573879,8
1547573879,8
1547573880,8
1547573880,8
1547573880,8
1547573881,8
1547573881,8
1547573882,8
1547573882,8
1547573883,8
1547573883,8
1547573884,8
1547573884,8
1547573885,8
1547573885,8
1547573885,8
1547573886,8
1547573886,8
1547573887,8
1547573887,8
1547573888,8
1547573888,8
1547573889,8
1547573889,8
1547573890,8
1547573890,8
1547573891,8
1547573891,8
1547573892,8
1547573892,8
1547573892,8
1547573893,8
1547573893,8
1547573894,8
1547573894,8
1547573895,8
1547573896,8
1547573897,8
1547573899,8
