t,value
1547514008,-1
1547514010,-1
1547514013,8
1547514016,2
1547514019,2
1547514022,3
1547514025,3
1547514028,3
1547514031,3
1547514034,3
1547514037,3
1547514040,3
1547514043,3
1547514046,3
1547514049,3
1547514052,3
1547514055,3
1547514058,3
1547514061,3
1547514064,3
1547514067,3
1547514070,3
1547514073,3
1547514076,4
1547514079,4
1547514082,4
1547514085,4
1547514088,4
1547514091,4
1547514094,4
1547514097,4
1547514100,4
1547514103,4
1547514106,4
1547514109,4
1547514112,4
1547514116,4
1547514118,4
1547514121,4
1547514124,4
1547514127,4
1547514130,4
1547514133,4
1547514136,4
1547514139,4
1547514142,4
1547514145,4
1547514148,4
1547514151,4
1547514154,4
1547514157,4
1547514160,4
1547514163,4
1547514166,4
1547514169,4
1547514172,4
1547514175,4
1547514178,4
1547514181,4
1547514184,4
1547514187,4
1547514190,4
1547514193,4
1547514196,4
1547514199,4
1547514202,4
1547514205,4
1547514208,4
1547514211,4
1547514214,4
1547514218,3
1547514220,3
1547514223,3
1547514226,3
1547514229,3
1547514232,3
1547514235,3
1547514238,3
1547514241,3
1547514244,3
1547514247,3
1547514250,3
1547514253,3
1547514256,3
1547514259,3
1547514262,3
1547514265,3
1547514268,3
1547514271,3
1547514274,3
1547514277,2
1547514280,3
1547514283,3
1547514286,3
1547514289,3
1547514292,3
1547514295,3
1547514298,3
1547514301,3
1547514304,3
1547514307,3
1547514310,3
1547514313,3
1547514316,3
1547514319,3
1547514322,3
1547514325,3
1547514328,3
1547514331,3
1547514334,3
1547514337,2
1547514340,2
1547514343,2
1547514346,2
1547514349,2
1547514352,2
1547514355,2
1547514358,2
1547514361,2
1547514364,2
1547514367,2
1547514370,2
1547514373,2
1547514376,2
1547514379,2
1547514382,2
1547514385,2
1547514388,2
1547514391,2
1547514394,2
1547514397,2
1547514400,2
1547514403,2
1547514406,2
1547514409,2
1547514412,2
1547514415,2
1547514418,2
1547514421,2
1547514424,2
1547514427,2
1547514430,2
1547514433,2
1547514436,2
1547514439,2
1547514442,2
1547514445,2
1547514448,2
1547514451,2
1547514454,2
1547514457,2
1547514460,2
1547514463,2
1547514466,2
1547514469,2
1547514472,2
1547514475,2
1547514478,2
1547514481,2
1547514484,2
1547514487,2
1547514490,2
1547514493,2
1547514496,2
1547514499,2
1547514502,2
1547514505,2
1547514508,2
1547514511,2
1547514514,2
1547514517,2
1547514520,2
1547514523,2
1547514526,2
1547514529,2
1547514532,2
1547514535,2
1547514538,2
1547514541,2
1547514544,2
1547514547,2
1547514550,2
1547514553,2
1547514556,2
1547514559,2
1547514562,2
1547514565,2
1547514568,2
1547514571,2
1547514574,2
1547514577,2
1547514580,2
1547514583,2
1547514586,2
1547514589,2
1547514592,2
1547514595,2
1547514598,2
1547514601,2
1547514604,2
1547514607,2
1547514610,2
1547514613,2
1547514616,2
1547514619,2
1547514622,2
1547514625,2
1547514628,2
1547514631,2
1547514634,2
1547514637,2
1547514640,2
1547514643,2
1547514646,2
1547514649,2
1547514652,2
1547514655,2
1547514658,2
1547514661,2
1547514664,2
1547514667,2
1547514670,2
1547514673,2
1547514676,2
1547514679,2
1547514682,2
1547514685,2
1547514688,2
1547514691,2
1547514694,2
1547514697,2
1547514700,2
1547514703,2
1547514706,2
1547514709,2
1547514712,2
1547514715,2
1547514718,2
1547514721,2
1547514724,2
1547514727,2
1547514730,2
1547514733,2
1547514736,2
1547514739,2
1547514742,2
1547514745,2
1547514748,2
1547514751,2
1547514754,2
1547514757,2
1547514760,2
1547514763,2
1547514766,2
1547514769,2
1547514772,2
1547514775,2
1547514778,2
1547514781,2
1547514784,2
1547514787,2
1547514790,2
1547514793,2
1547514796,2
1547514799,2
1547514802,2
1547514805,2
1547514808,2
1547514811,2
1547514814,2
1547514817,2
1547514820,2
1547514823,2
1547514826,2
1547514829,2
1547514832,2
1547514835,2
1547514838,2
1547514841,2
1547514844,2
1547514847,2
1547514850,2
1547514853,2
1547514856,2
1547514859,2
1547514862,2
1547514865,2
1547514868,2
1547514871,2
1547514874,2
1547514877,2
1547514880,2
1547514883,2
1547514886,2
1547514889,2
1547514892,2
1547514895,2
1547514898,2
1547514901,2
1547514904,2
1547514907,2
1547514910,2
1547514913,2
1547514916,2
1547514919,2
1547514922,2
1547514925,2
1547514928,2
1547514931,2
1547514934,2
1547514937,2
1547514940,2
1547514943,2
1547514946,2
1547514949,2
1547514952,2
1547514955,2
1547514958,2
1547514961,2
1547514964,2
1547514967,2
1547514970,2
1547514973,2
1547514976,2
1547514979,2
1547514982,2
1547514985,2
1547514988,2
1547514991,2
1547514994,2
1547514997,2
1547515000,2
1547515003,2
1547515006,2
1547515009,2
1547515012,2
1547515015,2
1547515018,2
1547515021,2
1547515024,2
1547515027,2
1547515030,2
1547515033,2
1547515036,2
1547515039,2
1547515042,2
1547515045,2
1547515048,2
1547515051,2
1547515054,2
1547515057,2
1547515060,2
1547515063,2
1547515066,2
1547515069,2
1547515072,2
1547515075,2
1547515078,2
1547515081,2
1547515084,2
1547515087,2
1547515090,2
1547515093,2
1547515096,2
1547515099,2
1547515102,2
1547515105,2
1547515108,2
1547515111,2
1547515114,2
1547515117,2
1547515120,2
1547515123,2
1547515126,2
1547515129,2
1547515132,2
1547515135,2
1547515138,2
1547515141,2
1547573728,2
1547573729,2
1547573730,2
1547573731,2
1547573731,2
1547573732,2
1547573733,2
1547573733,2
1547573734,2
1547573734,2
1547573735,2
1547573735,2
1547573736,2
1547573736,2
1547573737,2
1547573737,2
1547573738,2
1547573738,2
1547573739,2
1547573739,2
1547573740,2
1547573740,2
1547573741,2
1547573741,2
1547573742,2
1547573742,2
1547573743,2
1547573743,2
1547573744,2
1547573744,2
1547573745,2
1547573745,2
1547573746,2
1547573746,2
1547573747,2
1547573748,2
1547573748,2
1547573749,2
1547573749,2
1547573750,2
1547573750,2
1547573751,2
1547573751,2
1547573751,2
1547573752,2
1547573752,2
1547573753,2
1547573753,2
1547573754,2
1547573754,2
1547573755,2
1547573755,2
1547573756,2
1547573756,2
1547573757,2
1547573757,2
1547573758,2
1547573758,2
1547573759,2
1547573759,2
1547573760,2
1547573760,2
1547573761,2
1547573761,2
1547573762,2
1547573762,2
1547573763,2
1547573763,2
1547573764,2
1547573764,2
1547573765,2
1547573766,2
1547573766,2
1547573767,2
1547573767,2
1547573768,2
1547573769,2
1547573769,2
1547573770,2
1547573770,2
1547573771,2
1547573772,2
1547573772,2
1547573773,2
1547573774,2
1547573774,2
1547573775,2
1547573775,2
1547573776,2
1547573776,2
1547573777,2
1547573777,2
1547573778,2
1547573779,2
1547573779,2
1547573780,2
1547573780,2
1547573780,2
1547573781,2
1547573781,2
1547573782,2
1547573782,2
1547573782,2
1547573783,2
1547573783,2
1547573784,2
1547573785,2
1547573785,2
1547573785,2
1547573786,2
1547573786,2
1547573787,2
1547573787,2
1547573788,2
1547573788,2
1547573788,2
1547573789,2
1547573789,2
1547573790,2
1547573790,2
1547573790,2
1547573791,2
1547573791,2
1547573792,2
1547573792,2
1547573792,2
1547573793,2
1547573793,2
1547573794,2
1547573795,2
1547573795,2
1547573795,2
1547573796,2
1547573796,2
1547573797,2
1547573797,2
1547573797,2
1547573798,2
1547573798,2
1547573799,2
1547573799,2
1547573799,2
1547573800,2
1547573800,2
1547573800,2
1547573801,2
1547573801,2
1547573802,2
1547573802,2
1547573802,2
1547573803,2
1547573803,2
1547573804,2
1547573804,2
1547573804,2
1547573805,2
1547573805,2
1547573806,2
1547573806,2
1547573806,2
1547573807,2
1547573807,2
1547573808,2
1547573808,2
1547573808,2
1547573809,2
1547573810,2
1547573810,2
1547573810,2
1547573811,2
1547573811,2
1547573812,2
1547573812,2
1547573812,2
1547573813,2
1547573813,2
1547573814,2
1547573814,2
1547573814,2
1547573815,2
1547573815,2
1547573816,2
1547573816,2
1547573816,2
1547573817,2
1547573817,2
1547573818,2
1547573818,2
1547573818,2
1547573819,2
1547573819,2
1547573820,2
1547573820,2
1547573821,2
1547573821,2
1547573822,2
1547573822,2
1547573822,2
1547573823,2
1547573823,2
1547573824,2
1547573824,2
1547573825,2
1547573825,2
1547573825,2
1547573826,2
1547573826,2
1547573827,2
1547573827,2
1547573827,2
1547573828,2
1547573828,2
1547573829,2
1547573829,2
1547573830,2
1547573830,2
1547573831,2
1547573831,2
1547573831,2
1547573832,2
1547573832,2
1547573833,2
1547573833,2
1547573834,2
1547573834,2
1547573834,2
1547573835,2
1547573835,2
1547573836,2
1547573836,2
1547573837,2
1547573837,2
1547573838,2
1547573838,2
1547573839,2
1547573839,2
1547573839,2
1547573840,2
1547573840,2
1547573841,2
1547573841,2
1547573842,2
1547573842,2
1547573843,2
1547573843,2
1547573843,2
1547573844,2
1547573844,2
1547573845,2
1547573845,2
1547573846,2
1547573846,2
1547573847,2
1547573847,2
1547573848,2
1547573848,2
1547573849,2
1547573849,2
1547573849,2
1547573850,2
1547573850,2
1547573851,2
1547573851,2
1547573852,2
1547573853,2
1547573853,2
1547573853,2
1547573854,2
1547573854,2
1547573855,2
1547573855,2
1547573856,2
1547573856,2
1547573857,2
1547573857,2
1547573858,2
1547573858,2
1547573859,2
1547573859,2
1547573860,2
1547573860,2
1547573861,2
1547573861,2
1547573862,2
1547573862,2
1547573863,2
1547573863,2
1547573863,2
1547573864,2
1547573864,2
1547573865,2
1547573865,2
1547573866,2
1547573866,2
1547573867,2
1547573867,2
1547573868,2
1547573868,2
1547573868,2
1547573869,2
1547573869,2
1547573870,2
1547573870,2
1547573871,2
1547573871,2
1547573872,2
1547573872,2
1547573873,2
1547573873,2
1547573874,2
1547573874,2
1547573874,2
1547573875,2
1547573875,2
1547573876,2
1547573876,2
1547573877,2
1547573877,2
1547573878,2
1547573878,2
1547573879,2
1547573879,2
1547573880,2
1547573880,2
1547573880,2
1547573881,2
1547573881,2
1547573882,2
1547573882,2
1547573883,2
1547573883,2
1547573884,2
1547573884,2
1547573885,2
1547573885,2
1547573885,2
1547573886,2
1547573886,2
1547573887,2
1547573887,2
1547573888,2
1547573888,2
1547573889,2
1547573889,2
1547573890,2
1547573890,2
1547573891,2
1547573891,2
1547573892,2
1547573892,2
1547573892,2
1547573893,2
1547573893,2
1547573894,2
1547573894,2
1547573895,2
1547573896,2
1547573897,2
1547573899,2
