t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514010,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514013,1,0.105676,0.000000,0.000000,0.000000,events/second
1547514016,1,0.082416,0.000000,0.000000,0.000000,events/second
1547514019,1,0.066017,0.000000,0.000000,0.000000,events/second
1547514022,1,0.054503,0.000000,0.000000,0.000000,events/second
1547514025,1,0.047291,0.000000,0.000000,0.000000,events/second
1547514028,1,0.041258,0.000000,0.000000,0.000000,events/second
1547514031,1,0.036729,0.000000,0.000000,0.000000,events/second
1547514034,1,0.033139,0.000000,0.000000,0.000000,events/second
1547514037,1,0.030141,0.000000,0.000000,0.000000,events/second
1547514040,1,0.027627,0.000000,0.000000,0.000000,events/second
1547514043,1,0.025496,0.000000,0.000000,0.000000,events/second
1547514046,1,0.023707,0.000000,0.000000,0.000000,events/second
1547514049,1,0.022131,0.000000,0.000000,0.000000,events/second
1547514052,1,0.020754,0.000000,0.000000,0.000000,events/second
1547514055,1,0.019533,0.000000,0.000000,0.000000,events/second
1547514058,1,0.018443,0.000000,0.000000,0.000000,events/second
1547514061,1,0.017482,0.000000,0.000000,0.000000,events/second
1547514064,1,0.016610,0.000000,0.000000,0.000000,events/second
1547514067,1,0.015823,0.000000,0.000000,0.000000,events/second
1547514070,1,0.015101,0.000000,0.000000,0.000000,events/second
1547514073,1,0.014447,0.000000,0.000000,0.000000,events/second
1547514076,1,0.013823,0.000000,0.000000,0.000000,events/second
1547514079,1,0.013294,0.000000,0.000000,0.000000,events/second
1547514082,1,0.012775,0.000000,0.000000,0.000000,events/second
1547514085,1,0.012304,0.000000,0.000000,0.000000,events/second
1547514088,1,0.011863,0.000000,0.000000,0.000000,events/second
1547514091,1,0.011472,0.000000,0.000000,0.000000,events/second
1547514094,1,0.011080,0.000000,0.000000,0.000000,events/second
1547514097,1,0.010726,0.000000,0.000000,0.000000,events/second
1547514100,1,0.010399,0.000000,0.000000,0.000000,events/second
1547514103,1,0.010078,0.000000,0.000000,0.000000,events/second
1547514106,1,0.009784,0.000000,0.000000,0.000000,events/second
1547514109,1,0.009502,0.000000,0.000000,0.000000,events/second
1547514112,1,0.008996,0.000000,0.000000,0.000000,events/second
