t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,1,0.253699,0.000000,0.000000,0.000000,events/second
1547514010,1,0.156317,0.000000,0.000000,0.000000,events/second
1547514013,1,0.104864,0.000000,0.000000,0.000000,events/second
1547514016,1,0.082339,0.000000,0.000000,0.000000,events/second
1547514019,1,0.065969,0.000000,0.000000,0.000000,events/second
1547514022,1,0.054466,0.000000,0.000000,0.000000,events/second
1547514025,1,0.047264,0.000000,0.000000,0.000000,events/second
1547514028,1,0.041243,0.000000,0.000000,0.000000,events/second
1547514031,1,0.036708,0.000000,0.000000,0.000000,events/second
1547514034,1,0.033131,0.000000,0.000000,0.000000,events/second
1547514037,1,0.030135,0.000000,0.000000,0.000000,events/second
1547514040,1,0.027619,0.000000,0.000000,0.000000,events/second
1547514043,1,0.025491,0.000000,0.000000,0.000000,events/second
1547514046,1,0.023701,0.000000,0.000000,0.000000,events/second
1547514049,1,0.022126,0.000000,0.000000,0.000000,events/second
1547514052,1,0.020751,0.000000,0.000000,0.000000,events/second
1547514055,1,0.019531,0.000000,0.000000,0.000000,events/second
1547514058,1,0.018441,0.000000,0.000000,0.000000,events/second
1547514061,1,0.017480,0.000000,0.000000,0.000000,events/second
1547514064,1,0.016607,0.000000,0.000000,0.000000,events/second
1547514067,1,0.015820,0.000000,0.000000,0.000000,events/second
1547514070,1,0.015098,0.000000,0.000000,0.000000,events/second
1547514073,1,0.014445,0.000000,0.000000,0.000000,events/second
1547514076,1,0.013819,0.000000,0.000000,0.000000,events/second
1547514079,1,0.013293,0.000000,0.000000,0.000000,events/second
1547514082,1,0.012771,0.000000,0.000000,0.000000,events/second
1547514085,1,0.012302,0.000000,0.000000,0.000000,events/second
1547514088,1,0.011861,0.000000,0.000000,0.000000,events/second
1547514091,1,0.011471,0.000000,0.000000,0.000000,events/second
1547514094,1,0.011078,0.000000,0.000000,0.000000,events/second
1547514097,1,0.010725,0.000000,0.000000,0.000000,events/second
1547514100,1,0.010398,0.000000,0.000000,0.000000,events/second
1547514103,1,0.010078,0.000000,0.000000,0.000000,events/second
1547514106,1,0.009783,0.000000,0.000000,0.000000,events/second
1547514109,1,0.009500,0.000000,0.000000,0.000000,events/second
1547514112,1,0.008994,0.000000,0.000000,0.000000,events/second
1547514116,1,0.008915,0.000000,0.000000,0.000000,events/second
1547514118,1,0.008729,0.000000,0.000000,0.000000,events/second
1547514121,1,0.008497,0.000000,0.000000,0.000000,events/second
1547514124,1,0.008308,0.000000,0.000000,0.000000,events/second
1547514127,1,0.008080,0.000000,0.000000,0.000000,events/second
1547514130,1,0.007891,0.000000,0.000000,0.000000,events/second
1547514133,1,0.007715,0.000000,0.000000,0.000000,events/second
1547514136,1,0.007506,0.000000,0.000000,0.000000,events/second
1547514139,1,0.007324,0.000000,0.000000,0.000000,events/second
1547514142,1,0.007229,0.000000,0.000000,0.000000,events/second
1547514145,1,0.007078,0.000000,0.000000,0.000000,events/second
1547514148,1,0.006929,0.000000,0.000000,0.000000,events/second
1547514151,1,0.006788,0.000000,0.000000,0.000000,events/second
1547514154,1,0.006655,0.000000,0.000000,0.000000,events/second
1547514157,1,0.006528,0.000000,0.000000,0.000000,events/second
1547514160,1,0.006401,0.000000,0.000000,0.000000,events/second
1547514163,1,0.006279,0.000000,0.000000,0.000000,events/second
1547514166,1,0.006165,0.000000,0.000000,0.000000,events/second
1547514169,1,0.006052,0.000000,0.000000,0.000000,events/second
1547514172,1,0.005945,0.000000,0.000000,0.000000,events/second
1547514175,1,0.005842,0.000000,0.000000,0.000000,events/second
1547514178,1,0.005740,0.000000,0.000000,0.000000,events/second
1547514181,1,0.005645,0.000000,0.000000,0.000000,events/second
1547514184,1,0.005549,0.000000,0.000000,0.000000,events/second
1547514187,1,0.005459,0.000000,0.000000,0.000000,events/second
1547514190,1,0.005371,0.000000,0.000000,0.000000,events/second
1547514193,1,0.005284,0.000000,0.000000,0.000000,events/second
1547514196,1,0.005203,0.000000,0.000000,0.000000,events/second
1547514199,1,0.005122,0.000000,0.000000,0.000000,events/second
1547514202,1,0.005045,0.000000,0.000000,0.000000,events/second
1547514205,1,0.004969,0.000000,0.000000,0.000000,events/second
1547514208,1,0.004896,0.000000,0.000000,0.000000,events/second
1547514211,1,0.004826,0.000000,0.000000,0.000000,events/second
1547514214,1,0.004756,0.000000,0.000000,0.000000,events/second
1547514218,1,0.004680,0.000000,0.000000,0.000000,events/second
1547514220,1,0.004625,0.000000,0.000000,0.000000,events/second
1547514223,1,0.004560,0.000000,0.000000,0.000000,events/second
1547514226,1,0.004500,0.000000,0.000000,0.000000,events/second
1547514229,1,0.004440,0.000000,0.000000,0.000000,events/second
1547514232,1,0.004382,0.000000,0.000000,0.000000,events/second
1547514235,1,0.004321,0.000000,0.000000,0.000000,events/second
1547514238,1,0.004268,0.000000,0.000000,0.000000,events/second
1547514241,1,0.004215,0.000000,0.000000,0.000000,events/second
1547514244,1,0.004162,0.000000,0.000000,0.000000,events/second
1547514247,1,0.004112,0.000000,0.000000,0.000000,events/second
1547514250,1,0.004062,0.000000,0.000000,0.000000,events/second
1547514253,1,0.004012,0.000000,0.000000,0.000000,events/second
1547514256,1,0.003965,0.000000,0.000000,0.000000,events/second
1547514259,1,0.003918,0.000000,0.000000,0.000000,events/second
1547514262,1,0.003873,0.000000,0.000000,0.000000,events/second
1547514265,1,0.003828,0.000000,0.000000,0.000000,events/second
1547514268,1,0.003783,0.000000,0.000000,0.000000,events/second
1547514271,1,0.003742,0.000000,0.000000,0.000000,events/second
1547514274,1,0.003700,0.000000,0.000000,0.000000,events/second
1547514277,1,0.003660,0.000000,0.000000,0.000000,events/second
