t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,1,0.252760,0.000000,0.000000,0.000000,events/second
1547514010,1,0.155752,0.000000,0.000000,0.000000,events/second
1547514013,1,0.104363,0.000000,0.000000,0.000000,events/second
1547514016,1,0.082148,0.000000,0.000000,0.000000,events/second
1547514019,1,0.065883,0.000000,0.000000,0.000000,events/second
1547514022,1,0.054416,0.000000,0.000000,0.000000,events/second
1547514025,1,0.047211,0.000000,0.000000,0.000000,events/second
1547514028,1,0.041216,0.000000,0.000000,0.000000,events/second
1547514031,1,0.036679,0.000000,0.000000,0.000000,events/second
1547514034,1,0.033114,0.000000,0.000000,0.000000,events/second
1547514037,1,0.030121,0.000000,0.000000,0.000000,events/second
1547514040,1,0.027607,0.000000,0.000000,0.000000,events/second
1547514043,1,0.025480,0.000000,0.000000,0.000000,events/second
1547514046,1,0.023691,0.000000,0.000000,0.000000,events/second
1547514049,1,0.022119,0.000000,0.000000,0.000000,events/second
1547514052,1,0.020745,0.000000,0.000000,0.000000,events/second
1547514055,1,0.019525,0.000000,0.000000,0.000000,events/second
1547514058,1,0.018435,0.000000,0.000000,0.000000,events/second
1547514061,1,0.017474,0.000000,0.000000,0.000000,events/second
1547514064,1,0.016603,0.000000,0.000000,0.000000,events/second
1547514067,1,0.015816,0.000000,0.000000,0.000000,events/second
1547514070,1,0.015093,0.000000,0.000000,0.000000,events/second
1547514073,1,0.014441,0.000000,0.000000,0.000000,events/second
1547514076,1,0.013815,0.000000,0.000000,0.000000,events/second
1547514079,1,0.013290,0.000000,0.000000,0.000000,events/second
1547514082,1,0.012767,0.000000,0.000000,0.000000,events/second
1547514085,1,0.012299,0.000000,0.000000,0.000000,events/second
1547514088,1,0.011859,0.000000,0.000000,0.000000,events/second
1547514091,1,0.011469,0.000000,0.000000,0.000000,events/second
1547514094,1,0.011076,0.000000,0.000000,0.000000,events/second
1547514097,1,0.010723,0.000000,0.000000,0.000000,events/second
1547514100,1,0.010396,0.000000,0.000000,0.000000,events/second
1547514103,1,0.010076,0.000000,0.000000,0.000000,events/second
1547514106,1,0.009781,0.000000,0.000000,0.000000,events/second
1547514109,1,0.009498,0.000000,0.000000,0.000000,events/second
1547514112,1,0.008993,0.000000,0.000000,0.000000,events/second
1547514116,1,0.008914,0.000000,0.000000,0.000000,events/second
1547514118,1,0.008727,0.000000,0.000000,0.000000,events/second
1547514121,1,0.008495,0.000000,0.000000,0.000000,events/second
1547514124,1,0.008307,0.000000,0.000000,0.000000,events/second
1547514127,1,0.008079,0.000000,0.000000,0.000000,events/second
1547514130,1,0.007888,0.000000,0.000000,0.000000,events/second
1547514133,1,0.007713,0.000000,0.000000,0.000000,events/second
1547514136,1,0.007505,0.000000,0.000000,0.000000,events/second
1547514139,1,0.007322,0.000000,0.000000,0.000000,events/second
1547514142,1,0.007228,0.000000,0.000000,0.000000,events/second
1547514145,1,0.007077,0.000000,0.000000,0.000000,events/second
1547514148,1,0.006928,0.000000,0.000000,0.000000,events/second
1547514151,1,0.006787,0.000000,0.000000,0.000000,events/second
