t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514010,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514013,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514016,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514019,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514022,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514025,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514028,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514031,0,0.000000,0.000000,0.000000,0.000000,events/second
1547514034,1,0.033113,0.000000,0.000000,0.000000,events/second
1547514037,1,0.030117,0.000000,0.000000,0.000000,events/second
1547514040,1,0.027602,0.000000,0.000000,0.000000,events/second
1547514043,1,0.025476,0.000000,0.000000,0.000000,events/second
1547514046,1,0.023688,0.000000,0.000000,0.000000,events/second
1547514049,2,0.044232,0.000000,0.000000,0.000000,events/second
1547514052,2,0.041483,0.000000,0.000000,0.000000,events/second
1547514055,2,0.039046,0.000000,0.000000,0.000000,events/second
1547514058,2,0.036864,0.000000,0.000000,0.000000,events/second
1547514061,2,0.034945,0.000000,0.000000,0.000000,events/second
1547514064,2,0.033202,0.000000,0.000000,0.000000,events/second
1547514067,2,0.031628,0.000000,0.000000,0.000000,events/second
1547514070,2,0.030181,0.000000,0.000000,0.000000,events/second
1547514073,2,0.028880,0.000000,0.000000,0.000000,events/second
1547514076,2,0.027620,0.000000,0.000000,0.000000,events/second
1547514079,2,0.026576,0.000000,0.000000,0.000000,events/second
1547514082,2,0.025531,0.000000,0.000000,0.000000,events/second
1547514085,2,0.024594,0.000000,0.000000,0.000000,events/second
1547514088,2,0.023715,0.000000,0.000000,0.000000,events/second
1547514091,2,0.022936,0.000000,0.000000,0.000000,events/second
1547514094,2,0.022151,0.000000,0.000000,0.000000,events/second
1547514097,2,0.021446,0.000000,0.000000,0.000000,events/second
1547514100,2,0.020791,0.000000,0.000000,0.000000,events/second
1547514103,2,0.020151,0.000000,0.000000,0.000000,events/second
1547514106,2,0.019562,0.000000,0.000000,0.000000,events/second
1547514109,2,0.018995,0.000000,0.000000,0.000000,events/second
1547514112,2,0.017984,0.000000,0.000000,0.000000,events/second
