t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,1,0.251598,0.000000,0.000000,0.000000,events/second
1547514010,1,0.155351,0.000000,0.000000,0.000000,events/second
1547514013,1,0.103984,0.000000,0.000000,0.000000,events/second
1547514016,1,0.082056,0.000000,0.000000,0.000000,events/second
1547514019,1,0.065830,0.000000,0.000000,0.000000,events/second
1547514022,1,0.054376,0.000000,0.000000,0.000000,events/second
1547514025,1,0.047183,0.000000,0.000000,0.000000,events/second
1547514028,1,0.041196,0.000000,0.000000,0.000000,events/second
1547514031,2,0.073318,0.000000,0.000000,0.000000,events/second
1547514034,2,0.066209,0.000000,0.000000,0.000000,events/second
1547514037,2,0.060213,0.000000,0.000000,0.000000,events/second
1547514040,2,0.055185,0.000000,0.000000,0.000000,events/second
1547514043,2,0.050938,0.000000,0.000000,0.000000,events/second
1547514046,2,0.047362,0.000000,0.000000,0.000000,events/second
1547514049,3,0.066331,0.000000,0.000000,0.000000,events/second
1547514052,3,0.062209,0.000000,0.000000,0.000000,events/second
1547514055,3,0.058556,0.000000,0.000000,0.000000,events/second
1547514058,3,0.055284,0.000000,0.000000,0.000000,events/second
1547514061,3,0.052407,0.000000,0.000000,0.000000,events/second
1547514064,3,0.049794,0.000000,0.000000,0.000000,events/second
1547514067,3,0.047434,0.000000,0.000000,0.000000,events/second
1547514070,3,0.045262,0.000000,0.000000,0.000000,events/second
1547514073,3,0.043312,0.000000,0.000000,0.000000,events/second
1547514076,3,0.041415,0.000000,0.000000,0.000000,events/second
1547514079,3,0.039856,0.000000,0.000000,0.000000,events/second
1547514082,3,0.038290,0.000000,0.000000,0.000000,events/second
1547514085,3,0.036885,0.000000,0.000000,0.000000,events/second
1547514088,3,0.035567,0.000000,0.000000,0.000000,events/second
1547514091,3,0.034399,0.000000,0.000000,0.000000,events/second
1547514094,3,0.033222,0.000000,0.000000,0.000000,events/second
1547514097,3,0.032165,0.000000,0.000000,0.000000,events/second
1547514100,3,0.031182,0.000000,0.000000,0.000000,events/second
1547514103,3,0.030222,0.000000,0.000000,0.000000,events/second
1547514106,3,0.029336,0.000000,0.000000,0.000000,events/second
1547514109,3,0.028489,0.000000,0.000000,0.000000,events/second
1547514112,3,0.026972,0.000000,0.000000,0.000000,events/second
1547514116,3,0.026735,0.000000,0.000000,0.000000,events/second
1547514118,3,0.026170,0.000000,0.000000,0.000000,events/second
1547514121,3,0.025476,0.000000,0.000000,0.000000,events/second
1547514124,3,0.024915,0.000000,0.000000,0.000000,events/second
1547514127,3,0.024232,0.000000,0.000000,0.000000,events/second
1547514130,3,0.023656,0.000000,0.000000,0.000000,events/second
1547514133,3,0.023135,0.000000,0.000000,0.000000,events/second
1547514136,3,0.022506,0.000000,0.000000,0.000000,events/second
1547514139,3,0.021963,0.000000,0.000000,0.000000,events/second
1547514142,3,0.021680,0.000000,0.000000,0.000000,events/second
1547514145,3,0.021224,0.000000,0.000000,0.000000,events/second
1547514148,3,0.020781,0.000000,0.000000,0.000000,events/second
1547514151,3,0.020357,0.000000,0.000000,0.000000,events/second
1547514154,3,0.019958,0.000000,0.000000,0.000000,events/second
1547514157,3,0.019578,0.000000,0.000000,0.000000,events/second
1547514160,3,0.019196,0.000000,0.000000,0.000000,events/second
1547514163,3,0.018832,0.000000,0.000000,0.000000,events/second
1547514166,3,0.018490,0.000000,0.000000,0.000000,events/second
1547514169,3,0.018153,0.000000,0.000000,0.000000,events/second
1547514172,3,0.017832,0.000000,0.000000,0.000000,events/second
