t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,10,2.518075,0.000000,0.000000,0.000000,events/second
1547514010,12,1.866180,0.000000,0.000000,0.000000,events/second
1547514013,15,1.560896,0.000000,0.000000,0.000000,events/second
1547514016,17,1.396112,0.000000,0.000000,0.000000,events/second
1547514019,17,1.120193,0.000000,0.000000,0.000000,events/second
1547514022,17,0.924963,0.000000,0.000000,0.000000,events/second
1547514025,17,0.802652,0.000000,0.000000,0.000000,events/second
1547514028,17,0.700754,0.000000,0.000000,0.000000,events/second
1547514031,17,0.622977,0.000000,0.000000,0.000000,events/second
1547514034,17,0.563075,0.000000,0.000000,0.000000,events/second
1547514037,17,0.512078,0.000000,0.000000,0.000000,events/second
1547514040,17,0.469299,0.000000,0.000000,0.000000,events/second
1547514043,17,0.433158,0.000000,0.000000,0.000000,events/second
1547514046,17,0.402716,0.000000,0.000000,0.000000,events/second
1547514049,18,0.398140,0.000000,0.000000,0.000000,events/second
1547514052,18,0.373386,0.000000,0.000000,0.000000,events/second
1547514055,18,0.351452,0.000000,0.000000,0.000000,events/second
1547514058,18,0.331803,0.000000,0.000000,0.000000,events/second
1547514061,18,0.314535,0.000000,0.000000,0.000000,events/second
1547514064,18,0.298833,0.000000,0.000000,0.000000,events/second
1547514067,18,0.284684,0.000000,0.000000,0.000000,events/second
1547514070,18,0.271621,0.000000,0.000000,0.000000,events/second
1547514073,18,0.259922,0.000000,0.000000,0.000000,events/second
1547514076,18,0.248488,0.000000,0.000000,0.000000,events/second
1547514079,18,0.239180,0.000000,0.000000,0.000000,events/second
1547514082,18,0.229775,0.000000,0.000000,0.000000,events/second
1547514085,18,0.221346,0.000000,0.000000,0.000000,events/second
1547514088,18,0.213442,0.000000,0.000000,0.000000,events/second
1547514091,18,0.206429,0.000000,0.000000,0.000000,events/second
1547514094,18,0.199367,0.000000,0.000000,0.000000,events/second
1547514097,18,0.193020,0.000000,0.000000,0.000000,events/second
1547514100,18,0.187116,0.000000,0.000000,0.000000,events/second
1547514103,18,0.181365,0.000000,0.000000,0.000000,events/second
1547514106,18,0.176005,0.000000,0.000000,0.000000,events/second
1547514109,18,0.170947,0.000000,0.000000,0.000000,events/second
1547514112,18,0.161849,0.000000,0.000000,0.000000,events/second
1547514116,18,0.160425,0.000000,0.000000,0.000000,events/second
1547514118,18,0.157027,0.000000,0.000000,0.000000,events/second
1547514121,18,0.152851,0.000000,0.000000,0.000000,events/second
1547514124,18,0.149506,0.000000,0.000000,0.000000,events/second
1547514127,18,0.145407,0.000000,0.000000,0.000000,events/second
1547514130,18,0.141867,0.000000,0.000000,0.000000,events/second
1547514133,18,0.138825,0.000000,0.000000,0.000000,events/second
1547514136,18,0.135012,0.000000,0.000000,0.000000,events/second
1547514139,18,0.131782,0.000000,0.000000,0.000000,events/second
1547514142,18,0.130087,0.000000,0.000000,0.000000,events/second
1547514145,18,0.127348,0.000000,0.000000,0.000000,events/second
1547514148,18,0.124698,0.000000,0.000000,0.000000,events/second
1547514151,18,0.122152,0.000000,0.000000,0.000000,events/second
1547514154,18,0.119742,0.000000,0.000000,0.000000,events/second
1547514157,18,0.117482,0.000000,0.000000,0.000000,events/second
1547514160,18,0.115184,0.000000,0.000000,0.000000,events/second
1547514163,18,0.113007,0.000000,0.000000,0.000000,events/second
1547514166,18,0.110952,0.000000,0.000000,0.000000,events/second
1547514169,18,0.108923,0.000000,0.000000,0.000000,events/second
1547514172,18,0.107001,0.000000,0.000000,0.000000,events/second
1547514175,18,0.105139,0.000000,0.000000,0.000000,events/second
1547514178,18,0.103304,0.000000,0.000000,0.000000,events/second
1547514181,18,0.101581,0.000000,0.000000,0.000000,events/second
1547514184,18,0.099842,0.000000,0.000000,0.000000,events/second
1547514187,18,0.098253,0.000000,0.000000,0.000000,events/second
1547514190,18,0.096668,0.000000,0.000000,0.000000,events/second
1547514193,18,0.095103,0.000000,0.000000,0.000000,events/second
1547514196,18,0.093639,0.000000,0.000000,0.000000,events/second
1547514199,18,0.092194,0.000000,0.000000,0.000000,events/second
1547514202,18,0.090798,0.000000,0.000000,0.000000,events/second
1547514205,18,0.089427,0.000000,0.000000,0.000000,events/second
1547514208,18,0.088122,0.000000,0.000000,0.000000,events/second
1547514211,18,0.086865,0.000000,0.000000,0.000000,events/second
1547514214,18,0.085601,0.000000,0.000000,0.000000,events/second
1547514218,19,0.088906,0.000000,0.000000,0.000000,events/second
1547514220,19,0.087876,0.000000,0.000000,0.000000,events/second
1547514223,19,0.086608,0.000000,0.000000,0.000000,events/second
1547514226,19,0.085483,0.000000,0.000000,0.000000,events/second
1547514229,19,0.084340,0.000000,0.000000,0.000000,events/second
1547514232,19,0.083250,0.000000,0.000000,0.000000,events/second
1547514235,19,0.082071,0.000000,0.000000,0.000000,events/second
1547514238,19,0.081089,0.000000,0.000000,0.000000,events/second
1547514241,19,0.080084,0.000000,0.000000,0.000000,events/second
1547514244,19,0.079064,0.000000,0.000000,0.000000,events/second
1547514247,19,0.078113,0.000000,0.000000,0.000000,events/second
1547514250,19,0.077164,0.000000,0.000000,0.000000,events/second
1547514253,19,0.076230,0.000000,0.000000,0.000000,events/second
1547514256,19,0.075327,0.000000,0.000000,0.000000,events/second
1547514259,19,0.074436,0.000000,0.000000,0.000000,events/second
1547514262,19,0.073581,0.000000,0.000000,0.000000,events/second
1547514265,19,0.072734,0.000000,0.000000,0.000000,events/second
1547514268,19,0.071878,0.000000,0.000000,0.000000,events/second
1547514271,19,0.071085,0.000000,0.000000,0.000000,events/second
1547514274,19,0.070301,0.000000,0.000000,0.000000,events/second
1547514277,19,0.069539,0.000000,0.000000,0.000000,events/second
1547514280,19,0.068768,0.000000,0.000000,0.000000,events/second
1547514283,19,0.068030,0.000000,0.000000,0.000000,events/second
1547514286,19,0.067277,0.000000,0.000000,0.000000,events/second
1547514289,19,0.066598,0.000000,0.000000,0.000000,events/second
1547514292,19,0.065910,0.000000,0.000000,0.000000,events/second
1547514295,19,0.065245,0.000000,0.000000,0.000000,events/second
1547514298,20,0.067971,0.000000,0.000000,0.000000,events/second
1547514301,20,0.067286,0.000000,0.000000,0.000000,events/second
