t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1547514008,106,26.640193,0.000000,0.000000,0.000000,events/second
1547514010,120,18.607530,0.000000,0.000000,0.000000,events/second
1547514013,149,15.398238,0.000000,0.000000,0.000000,events/second
1547514016,173,14.195258,0.000000,0.000000,0.000000,events/second
1547514019,173,11.392099,0.000000,0.000000,0.000000,events/second
1547514022,173,9.396143,0.000000,0.000000,0.000000,events/second
1547514025,173,8.164012,0.000000,0.000000,0.000000,events/second
1547514028,173,7.128086,0.000000,0.000000,0.000000,events/second
1547514031,173,6.337142,0.000000,0.000000,0.000000,events/second
1547514034,173,5.728690,0.000000,0.000000,0.000000,events/second
1547514037,173,5.209961,0.000000,0.000000,0.000000,events/second
1547514040,173,4.774790,0.000000,0.000000,0.000000,events/second
1547514043,173,4.407200,0.000000,0.000000,0.000000,events/second
1547514046,173,4.097561,0.000000,0.000000,0.000000,events/second
1547514049,182,4.025006,0.000000,0.000000,0.000000,events/second
1547514052,182,3.774749,0.000000,0.000000,0.000000,events/second
1547514055,182,3.553093,0.000000,0.000000,0.000000,events/second
1547514058,182,3.354381,0.000000,0.000000,0.000000,events/second
1547514061,182,3.179868,0.000000,0.000000,0.000000,events/second
1547514064,182,3.021172,0.000000,0.000000,0.000000,events/second
1547514067,182,2.878151,0.000000,0.000000,0.000000,events/second
1547514070,182,2.745979,0.000000,0.000000,0.000000,events/second
1547514073,182,2.627752,0.000000,0.000000,0.000000,events/second
1547514076,182,2.512074,0.000000,0.000000,0.000000,events/second
1547514079,182,2.418077,0.000000,0.000000,0.000000,events/second
1547514082,182,2.322955,0.000000,0.000000,0.000000,events/second
1547514085,182,2.237782,0.000000,0.000000,0.000000,events/second
1547514088,182,2.157905,0.000000,0.000000,0.000000,events/second
1547514091,182,2.087048,0.000000,0.000000,0.000000,events/second
1547514094,182,2.015654,0.000000,0.000000,0.000000,events/second
1547514097,182,1.951508,0.000000,0.000000,0.000000,events/second
1547514100,182,1.891807,0.000000,0.000000,0.000000,events/second
1547514103,182,1.833641,0.000000,0.000000,0.000000,events/second
1547514106,182,1.779297,0.000000,0.000000,0.000000,events/second
1547514109,182,1.728287,0.000000,0.000000,0.000000,events/second
1547514112,182,1.636323,0.000000,0.000000,0.000000,events/second
1547514116,182,1.621901,0.000000,0.000000,0.000000,events/second
1547514118,182,1.587524,0.000000,0.000000,0.000000,events/second
1547514121,182,1.545281,0.000000,0.000000,0.000000,events/second
1547514124,182,1.511523,0.000000,0.000000,0.000000,events/second
1547514127,182,1.470103,0.000000,0.000000,0.000000,events/second
1547514130,182,1.434175,0.000000,0.000000,0.000000,events/second
1547514133,182,1.403534,0.000000,0.000000,0.000000,events/second
1547514136,182,1.364973,0.000000,0.000000,0.000000,events/second
1547514139,182,1.332362,0.000000,0.000000,0.000000,events/second
1547514142,182,1.315233,0.000000,0.000000,0.000000,events/second
1547514145,182,1.287533,0.000000,0.000000,0.000000,events/second
1547514148,182,1.260766,0.000000,0.000000,0.000000,events/second
1547514151,182,1.235011,0.000000,0.000000,0.000000,events/second
1547514154,182,1.210655,0.000000,0.000000,0.000000,events/second
1547514157,182,1.187819,0.000000,0.000000,0.000000,events/second
1547514160,182,1.164566,0.000000,0.000000,0.000000,events/second
1547514163,182,1.142557,0.000000,0.000000,0.000000,events/second
1547514166,182,1.121761,0.000000,0.000000,0.000000,events/second
1547514169,182,1.101261,0.000000,0.000000,0.000000,events/second
1547514172,182,1.081846,0.000000,0.000000,0.000000,events/second
1547514175,182,1.063024,0.000000,0.000000,0.000000,events/second
1547514178,182,1.044476,0.000000,0.000000,0.000000,events/second
1547514181,182,1.027056,0.000000,0.000000,0.000000,events/second
1547514184,182,1.009456,0.000000,0.000000,0.000000,events/second
1547514187,182,0.993408,0.000000,0.000000,0.000000,events/second
1547514190,182,0.977371,0.000000,0.000000,0.000000,events/second
1547514193,182,0.961515,0.000000,0.000000,0.000000,events/second
1547514196,182,0.946747,0.000000,0.000000,0.000000,events/second
1547514199,182,0.932147,0.000000,0.000000,0.000000,events/second
1547514202,182,0.918013,0.000000,0.000000,0.000000,events/second
1547514205,182,0.904171,0.000000,0.000000,0.000000,events/second
1547514208,182,0.890976,0.000000,0.000000,0.000000,events/second
1547514211,182,0.878265,0.000000,0.000000,0.000000,events/second
1547514214,182,0.865484,0.000000,0.000000,0.000000,events/second
1547514218,190,0.888999,0.000000,0.000000,0.000000,events/second
1547514220,190,0.878724,0.000000,0.000000,0.000000,events/second
1547514223,190,0.866037,0.000000,0.000000,0.000000,events/second
1547514226,190,0.854795,0.000000,0.000000,0.000000,events/second
1547514229,190,0.843355,0.000000,0.000000,0.000000,events/second
1547514232,190,0.832459,0.000000,0.000000,0.000000,events/second
1547514235,190,0.820680,0.000000,0.000000,0.000000,events/second
1547514238,190,0.810859,0.000000,0.000000,0.000000,events/second
1547514241,190,0.800818,0.000000,0.000000,0.000000,events/second
1547514244,190,0.790608,0.000000,0.000000,0.000000,events/second
1547514247,190,0.781108,0.000000,0.000000,0.000000,events/second
1547514250,190,0.771617,0.000000,0.000000,0.000000,events/second
1547514253,190,0.762276,0.000000,0.000000,0.000000,events/second
1547514256,190,0.753243,0.000000,0.000000,0.000000,events/second
1547514259,190,0.744342,0.000000,0.000000,0.000000,events/second
1547514262,190,0.735786,0.000000,0.000000,0.000000,events/second
1547514265,190,0.727314,0.000000,0.000000,0.000000,events/second
1547514268,190,0.718756,0.000000,0.000000,0.000000,events/second
1547514271,190,0.710826,0.000000,0.000000,0.000000,events/second
1547514274,190,0.702993,0.000000,0.000000,0.000000,events/second
1547514277,190,0.695368,0.000000,0.000000,0.000000,events/second
1547514280,190,0.687665,0.000000,0.000000,0.000000,events/second
1547514283,190,0.680282,0.000000,0.000000,0.000000,events/second
1547514286,190,0.672742,0.000000,0.000000,0.000000,events/second
1547514289,190,0.665956,0.000000,0.000000,0.000000,events/second
1547514292,190,0.659078,0.000000,0.000000,0.000000,events/second
1547514295,190,0.652432,0.000000,0.000000,0.000000,events/second
1547514298,198,0.672892,0.000000,0.000000,0.000000,events/second
1547514301,198,0.666121,0.000000,0.000000,0.000000,events/second
1547514304,198,0.659561,0.000000,0.000000,0.000000,events/second
1547514307,198,0.653019,0.000000,0.000000,0.000000,events/second
1547514310,198,0.646630,0.000000,0.000000,0.000000,events/second
1547514313,198,0.640275,0.000000,0.000000,0.000000,events/second
1547514316,198,0.633970,0.000000,0.000000,0.000000,events/second
1547514319,198,0.628131,0.000000,0.000000,0.000000,events/second
1547514322,198,0.622131,0.000000,0.000000,0.000000,events/second
1547514325,198,0.616275,0.000000,0.000000,0.000000,events/second
1547514328,198,0.610477,0.000000,0.000000,0.000000,events/second
1547514331,198,0.605050,0.000000,0.000000,0.000000,events/second
1547514334,198,0.599551,0.000000,0.000000,0.000000,events/second
1547514337,198,0.594013,0.000000,0.000000,0.000000,events/second
1547514340,198,0.588824,0.000000,0.000000,0.000000,events/second
1547514343,198,0.583640,0.000000,0.000000,0.000000,events/second
1547514346,198,0.578563,0.000000,0.000000,0.000000,events/second
1547514349,198,0.573546,0.000000,0.000000,0.000000,events/second
1547514352,198,0.568598,0.000000,0.000000,0.000000,events/second
1547514355,198,0.563736,0.000000,0.000000,0.000000,events/second
1547514358,198,0.558657,0.000000,0.000000,0.000000,events/second
1547514361,198,0.554157,0.000000,0.000000,0.000000,events/second
1547514364,198,0.549397,0.000000,0.000000,0.000000,events/second
1547514367,198,0.545111,0.000000,0.000000,0.000000,events/second
1547514370,198,0.540662,0.000000,0.000000,0.000000,events/second
1547514373,198,0.536206,0.000000,0.000000,0.000000,events/second
1547514376,198,0.531945,0.000000,0.000000,0.000000,events/second
1547514379,198,0.527690,0.000000,0.000000,0.000000,events/second
1547514382,198,0.523496,0.000000,0.000000,0.000000,events/second
1547514385,198,0.519375,0.000000,0.000000,0.000000,events/second
1547514388,198,0.515274,0.000000,0.000000,0.000000,events/second
1547514391,198,0.511205,0.000000,0.000000,0.000000,events/second
1547514394,198,0.507298,0.000000,0.000000,0.000000,events/second
1547514397,198,0.503440,0.000000,0.000000,0.000000,events/second
1547514400,198,0.499578,0.000000,0.000000,0.000000,events/second
1547514403,198,0.495826,0.000000,0.000000,0.000000,events/second
1547514406,198,0.492165,0.000000,0.000000,0.000000,events/second
1547514409,198,0.488496,0.000000,0.000000,0.000000,events/second
1547514412,198,0.484944,0.000000,0.000000,0.000000,events/second
1547514415,198,0.481393,0.000000,0.000000,0.000000,events/second
1547514418,198,0.477864,0.000000,0.000000,0.000000,events/second
1547514421,198,0.474460,0.000000,0.000000,0.000000,events/second
1547514424,198,0.471035,0.000000,0.000000,0.000000,events/second
1547514427,198,0.467719,0.000000,0.000000,0.000000,events/second
1547514430,198,0.464308,0.000000,0.000000,0.000000,events/second
1547514433,198,0.461164,0.000000,0.000000,0.000000,events/second
1547514436,198,0.457969,0.000000,0.000000,0.000000,events/second
1547514439,198,0.454837,0.000000,0.000000,0.000000,events/second
1547514442,198,0.451628,0.000000,0.000000,0.000000,events/second
1547514445,198,0.448090,0.000000,0.000000,0.000000,events/second
1547514448,198,0.445189,0.000000,0.000000,0.000000,events/second
1547514451,198,0.442577,0.000000,0.000000,0.000000,events/second
1547514454,198,0.439657,0.000000,0.000000,0.000000,events/second
1547514457,198,0.436772,0.000000,0.000000,0.000000,events/second
1547514460,198,0.433826,0.000000,0.000000,0.000000,events/second
1547514463,198,0.431034,0.000000,0.000000,0.000000,events/second
1547514466,198,0.428220,0.000000,0.000000,0.000000,events/second
1547514469,198,0.425517,0.000000,0.000000,0.000000,events/second
1547514472,198,0.422779,0.000000,0.000000,0.000000,events/second
1547514475,198,0.420062,0.000000,0.000000,0.000000,events/second
1547514478,198,0.417344,0.000000,0.000000,0.000000,events/second
1547514481,198,0.414645,0.000000,0.000000,0.000000,events/second
1547514484,198,0.412022,0.000000,0.000000,0.000000,events/second
1547514487,198,0.409671,0.000000,0.000000,0.000000,events/second
1547514490,198,0.407116,0.000000,0.000000,0.000000,events/second
1547514493,198,0.404575,0.000000,0.000000,0.000000,events/second
1547514496,198,0.402163,0.000000,0.000000,0.000000,events/second
1547514499,198,0.399735,0.000000,0.000000,0.000000,events/second
1547514502,198,0.397039,0.000000,0.000000,0.000000,events/second
1547514505,198,0.394945,0.000000,0.000000,0.000000,events/second
1547514508,198,0.392582,0.000000,0.000000,0.000000,events/second
1547514511,198,0.390146,0.000000,0.000000,0.000000,events/second
1547514514,198,0.387912,0.000000,0.000000,0.000000,events/second
1547514517,198,0.385706,0.000000,0.000000,0.000000,events/second
1547514520,198,0.383200,0.000000,0.000000,0.000000,events/second
1547514523,205,0.394466,0.000000,0.000000,0.000000,events/second
1547514526,205,0.392476,0.000000,0.000000,0.000000,events/second
1547514529,205,0.390231,0.000000,0.000000,0.000000,events/second
1547514532,205,0.387970,0.000000,0.000000,0.000000,events/second
1547514535,205,0.385850,0.000000,0.000000,0.000000,events/second
1547514538,205,0.383638,0.000000,0.000000,0.000000,events/second
1547514541,205,0.381544,0.000000,0.000000,0.000000,events/second
1547514544,205,0.379385,0.000000,0.000000,0.000000,events/second
1547514547,205,0.377007,0.000000,0.000000,0.000000,events/second
1547514550,205,0.375256,0.000000,0.000000,0.000000,events/second
1547514553,205,0.373172,0.000000,0.000000,0.000000,events/second
1547514556,205,0.371147,0.000000,0.000000,0.000000,events/second
1547514559,205,0.369179,0.000000,0.000000,0.000000,events/second
1547514562,205,0.367174,0.000000,0.000000,0.000000,events/second
1547514565,205,0.365059,0.000000,0.000000,0.000000,events/second
1547514568,205,0.363255,0.000000,0.000000,0.000000,events/second
1547514571,205,0.361295,0.000000,0.000000,0.000000,events/second
1547514574,205,0.359296,0.000000,0.000000,0.000000,events/second
1547514577,205,0.357458,0.000000,0.000000,0.000000,events/second
1547514580,205,0.355604,0.000000,0.000000,0.000000,events/second
1547514583,205,0.353754,0.000000,0.000000,0.000000,events/second
1547514586,205,0.352010,0.000000,0.000000,0.000000,events/second
1547514589,205,0.350251,0.000000,0.000000,0.000000,events/second
1547514592,205,0.348290,0.000000,0.000000,0.000000,events/second
1547514595,205,0.346550,0.000000,0.000000,0.000000,events/second
1547514598,205,0.344847,0.000000,0.000000,0.000000,events/second
1547514601,205,0.343110,0.000000,0.000000,0.000000,events/second
1547514604,205,0.341413,0.000000,0.000000,0.000000,events/second
1547514607,205,0.339665,0.000000,0.000000,0.000000,events/second
1547514610,205,0.337965,0.000000,0.000000,0.000000,events/second
1547514613,205,0.336391,0.000000,0.000000,0.000000,events/second
1547514616,205,0.334725,0.000000,0.000000,0.000000,events/second
1547514619,205,0.332993,0.000000,0.000000,0.000000,events/second
1547514622,205,0.331434,0.000000,0.000000,0.000000,events/second
1547514625,205,0.329850,0.000000,0.000000,0.000000,events/second
1547514628,205,0.328201,0.000000,0.000000,0.000000,events/second
1547514631,205,0.326743,0.000000,0.000000,0.000000,events/second
1547514634,205,0.325177,0.000000,0.000000,0.000000,events/second
1547514637,205,0.323638,0.000000,0.000000,0.000000,events/second
1547514640,205,0.322086,0.000000,0.000000,0.000000,events/second
1547514643,205,0.320571,0.000000,0.000000,0.000000,events/second
1547514646,205,0.319098,0.000000,0.000000,0.000000,events/second
1547514649,205,0.317623,0.000000,0.000000,0.000000,events/second
1547514652,205,0.316145,0.000000,0.000000,0.000000,events/second
1547514655,205,0.314613,0.000000,0.000000,0.000000,events/second
1547514658,205,0.313210,0.000000,0.000000,0.000000,events/second
1547514661,205,0.311781,0.000000,0.000000,0.000000,events/second
1547514664,205,0.310412,0.000000,0.000000,0.000000,events/second
1547514667,205,0.308982,0.000000,0.000000,0.000000,events/second
1547514670,205,0.307556,0.000000,0.000000,0.000000,events/second
1547514673,205,0.306254,0.000000,0.000000,0.000000,events/second
1547514676,205,0.304806,0.000000,0.000000,0.000000,events/second
1547514679,205,0.303524,0.000000,0.000000,0.000000,events/second
1547514682,205,0.302117,0.000000,0.000000,0.000000,events/second
