t,value
1547514008,196624
1547514010,196624
1547514013,196624
1547514016,196624
1547514019,196624
1547514022,5458071
1547514025,5499127
1547514028,5499127
1547514031,5499127
1547514034,5499127
1547514037,5499127
1547514040,5499127
1547514043,5499127
1547514046,5499127
1547514049,5584479
1547514052,5584479
1547514055,5584479
1547514058,5584479
1547514061,5584479
1547514064,5584479
1547514067,5584479
1547514070,5584479
1547514073,5584479
1547514076,5584479
1547514079,5584479
1547514082,5584479
1547514085,5584479
1547514088,5584479
1547514091,5584479
1547514094,5584479
1547514097,5584479
1547514100,5584479
1547514103,5584479
1547514106,5584479
1547514109,5584479
1547514112,5584479
1547514116,5584479
1547514118,5584479
1547514121,5584479
1547514124,5584479
1547514127,5584479
1547514130,5584479
1547514133,5584479
1547514136,5584479
1547514139,5584479
1547514142,5584479
1547514145,5584479
1547514148,5584479
1547514151,5584479
1547514154,5584479
1547514157,5584479
1547514160,5584479
1547514163,5584479
1547514166,5584479
1547514169,5584479
1547514172,5584479
1547514175,5584479
1547514178,5584479
1547514181,5584479
1547514184,5584479
1547514187,5584479
1547514190,5584479
1547514193,5584479
1547514196,5584479
1547514199,5584479
1547514202,5584479
1547514205,5584479
1547514208,5584479
1547514211,5584479
1547514214,5584479
1547514218,6035455
1547514220,6260047
1547514223,6260047
1547514226,6260047
1547514229,6260047
1547514232,6260047
1547514235,6260047
1547514238,6260047
1547514241,6260047
1547514244,6260047
1547514247,6260047
1547514250,6260047
1547514253,6260047
1547514256,6260047
1547514259,6260047
1547514262,6260047
1547514265,6260047
1547514268,6260047
1547514271,6260047
1547514274,6260047
1547514277,6260047
1547514280,6260047
1547514283,6260047
1547514286,6260047
1547514289,6260047
1547514292,6260047
1547514295,6260047
1547514298,6251855
1547514301,6251855
1547514304,6251855
1547514307,6251855
1547514310,6251855
1547514313,6251855
1547514316,6251855
1547514319,6251855
1547514322,6251855
1547514325,6251855
1547514328,6251855
1547514331,6251855
1547514334,6251855
1547514337,6251855
1547514340,6251855
1547514343,6251855
1547514346,6251855
1547514349,6251855
1547514352,6251855
1547514355,6251855
1547514358,6251855
1547514361,6251855
1547514364,6251855
1547514367,6251855
1547514370,6251855
1547514373,6251855
1547514376,6251855
1547514379,6251855
1547514382,6251855
1547514385,6251855
1547514388,6251855
1547514391,6251855
1547514394,6251855
1547514397,6251855
1547514400,6251855
1547514403,6251855
1547514406,6251855
1547514409,6251855
1547514412,6251855
1547514415,6251855
1547514418,6251855
1547514421,6251855
1547514424,6251855
1547514427,6251855
1547514430,6251855
1547514433,6251855
1547514436,6251855
1547514439,6251855
1547514442,6251855
1547514445,6251855
1547514448,6251855
1547514451,6251855
1547514454,6251855
1547514457,6251855
1547514460,6251855
1547514463,6251855
1547514466,6251855
1547514469,6251855
1547514472,6251855
1547514475,6251855
1547514478,6251855
1547514481,6251855
1547514484,6251855
1547514487,6251855
1547514490,6251855
1547514493,6251855
1547514496,6251855
1547514499,6251855
1547514502,6251855
1547514505,6251855
1547514508,6251855
1547514511,6251855
1547514514,6251855
1547514517,6251855
1547514520,6251855
1547514523,6251855
1547514526,6243663
1547514529,6243663
1547514532,6243663
1547514535,6243663
1547514538,6243663
1547514541,6243663
1547514544,6243663
1547514547,6243663
1547514550,6243663
1547514553,6243663
1547514556,6243663
1547514559,6243663
1547514562,6243663
1547514565,6243663
1547514568,6243663
1547514571,6243663
1547514574,6243663
1547514577,6243663
1547514580,6243663
1547514583,6243663
1547514586,6243663
1547514589,6243663
1547514592,6243663
1547514595,6243663
1547514598,6243663
1547514601,6243663
1547514604,6243663
1547514607,6243663
1547514610,6243663
1547514613,6243663
1547514616,6243663
1547514619,6243663
1547514622,6243663
1547514625,6243663
1547514628,6243663
1547514631,6243663
