t,value
1547514008,5
1547514010,5
1547514013,5
1547514016,5
1547514019,5
1547514022,20
1547514025,26
1547514028,26
1547514031,26
1547514034,26
1547514037,26
1547514040,26
1547514043,26
1547514046,26
1547514049,28
1547514052,28
1547514055,28
1547514058,28
1547514061,28
1547514064,28
1547514067,28
1547514070,28
1547514073,28
1547514076,28
1547514079,28
1547514082,28
1547514085,28
1547514088,28
1547514091,28
1547514094,28
1547514097,28
1547514100,28
1547514103,28
1547514106,28
1547514109,28
1547514112,28
1547514116,28
1547514118,28
1547514121,28
1547514124,28
1547514127,28
1547514130,28
1547514133,28
1547514136,28
1547514139,28
1547514142,28
1547514145,28
1547514148,28
1547514151,28
1547514154,28
1547514157,28
1547514160,28
1547514163,28
1547514166,28
1547514169,28
1547514172,28
1547514175,28
1547514178,28
1547514181,28
1547514184,28
1547514187,28
1547514190,28
1547514193,28
1547514196,28
1547514199,28
1547514202,28
1547514205,28
1547514208,28
1547514211,28
1547514214,28
1547514218,31
1547514220,32
1547514223,32
1547514226,32
1547514229,32
1547514232,32
1547514235,32
1547514238,32
1547514241,32
1547514244,32
1547514247,32
1547514250,32
1547514253,32
1547514256,32
1547514259,32
1547514262,32
1547514265,32
1547514268,32
1547514271,32
1547514274,32
1547514277,32
1547514280,32
1547514283,32
1547514286,32
1547514289,32
1547514292,32
1547514295,32
1547514298,31
1547514301,31
1547514304,31
1547514307,31
1547514310,31
1547514313,31
1547514316,31
1547514319,31
1547514322,31
1547514325,31
1547514328,31
1547514331,31
1547514334,31
1547514337,31
1547514340,31
1547514343,31
1547514346,31
1547514349,31
1547514352,31
1547514355,31
1547514358,31
1547514361,31
1547514364,31
1547514367,31
1547514370,31
1547514373,31
1547514376,31
1547514379,31
1547514382,31
1547514385,31
1547514388,31
1547514391,31
1547514394,31
1547514397,31
1547514400,31
1547514403,31
1547514406,31
1547514409,31
1547514412,31
1547514415,31
1547514418,31
1547514421,31
1547514424,31
1547514427,31
1547514430,31
1547514433,31
1547514436,31
1547514439,31
1547514442,31
1547514445,31
1547514448,31
1547514451,31
1547514454,31
1547514457,31
1547514460,31
1547514463,31
1547514466,31
1547514469,31
1547514472,31
1547514475,31
1547514478,31
1547514481,31
1547514484,31
1547514487,31
1547514490,31
1547514493,31
1547514496,31
1547514499,31
1547514502,31
1547514505,31
1547514508,31
1547514511,31
1547514514,31
1547514517,31
1547514520,31
1547514523,31
1547514526,30
1547514529,30
1547514532,30
1547514535,30
1547514538,30
1547514541,30
1547514544,30
1547514547,30
1547514550,30
1547514553,30
1547514556,30
1547514559,30
1547514562,30
1547514565,30
1547514568,30
1547514571,30
1547514574,30
1547514577,30
1547514580,30
1547514583,30
1547514586,30
1547514589,30
1547514592,30
1547514595,30
1547514598,30
1547514601,30
1547514604,30
1547514607,30
1547514610,30
1547514613,30
1547514616,30
1547514619,30
1547514622,30
1547514625,30
1547514628,30
1547514631,30
1547514634,30
1547514637,30
1547514640,30
1547514643,30
1547514646,30
1547514649,30
1547514652,30
1547514655,30
1547514658,30
1547514661,30
1547514664,30
1547514667,30
1547514670,30
1547514673,30
1547514676,30
1547514679,30
1547514682,30
1547514685,30
1547514688,30
1547514691,30
1547514694,30
1547514697,30
1547514700,30
1547514703,30
1547514706,30
1547514709,30
1547514712,30
1547514715,30
1547514718,30
1547514721,30
1547514724,30
1547514727,30
1547514730,30
1547514733,30
1547514736,30
1547514739,30
1547514742,30
1547514745,30
1547514748,30
1547514751,30
1547514754,30
1547514757,30
1547514760,30
1547514763,30
1547514766,30
1547514769,30
1547514772,30
1547514775,30
1547514778,30
1547514781,30
1547514784,30
1547514787,30
1547514790,30
1547514793,30
1547514796,30
1547514799,30
1547514802,30
1547514805,30
1547514808,30
1547514811,30
1547514814,30
1547514817,30
1547514820,30
1547514823,30
1547514826,30
1547514829,30
1547514832,30
1547514835,30
1547514838,30
1547514841,30
1547514844,30
1547514847,30
1547514850,30
1547514853,30
1547514856,30
1547514859,30
1547514862,30
1547514865,30
1547514868,30
1547514871,30
1547514874,30
1547514877,30
1547514880,30
1547514883,30
1547514886,30
1547514889,30
1547514892,30
1547514895,30
1547514898,30
1547514901,30
1547514904,30
1547514907,30
1547514910,30
1547514913,30
1547514916,30
1547514919,30
1547514922,30
1547514925,30
1547514928,30
1547514931,30
1547514934,30
1547514937,30
1547514940,30
1547514943,30
1547514946,30
1547514949,30
1547514952,30
1547514955,30
1547514958,30
1547514961,30
1547514964,30
1547514967,30
1547514970,30
1547514973,30
1547514976,30
1547514979,30
1547514982,30
1547514985,30
1547514988,30
1547514991,30
1547514994,30
1547514997,30
1547515000,30
1547515003,30
1547515006,30
1547515009,30
1547515012,30
1547515015,30
1547515018,30
1547515021,30
1547515024,30
1547515027,30
1547515030,30
1547515033,30
1547515036,30
1547515039,30
1547515042,30
1547515045,30
1547515048,30
1547515051,30
1547515054,30
1547515057,30
1547515060,30
1547515063,30
1547515066,30
1547515069,30
1547515072,30
1547515075,30
1547515078,30
1547515081,30
1547515084,30
1547515087,30
1547515090,30
1547515093,30
1547515096,30
1547515099,30
1547515102,30
1547515105,30
1547515108,30
1547515111,30
1547515114,30
1547515117,30
1547515120,30
1547515123,30
1547515126,30
1547515129,30
1547515132,30
1547515135,30
1547515138,30
1547515141,30
1547573728,30
1547573729,30
1547573730,30
1547573731,30
1547573731,30
1547573732,30
1547573733,30
1547573733,30
1547573734,30
