t,value
1547514008,10333568
1547514010,10771456
1547514013,11607616
1547514016,13278464
1547514019,13198144
1547514022,12896000
1547514025,13084928
1547514028,13148352
1547514031,13129408
1547514034,13240512
1547514037,13257920
1547514040,13272640
1547514043,13309376
1547514046,13341632
1547514049,13456768
1547514052,13488832
1547514055,13495360
1547514058,13500928
1547514061,13527424
1547514064,13579904
1547514067,13603520
1547514070,13603520
1547514073,13609216
1547514076,13664640
1547514079,13644800
1547514082,13646592
1547514085,13659136
1547514088,13659136
1547514091,13663680
1547514094,13669696
1547514097,13749120
1547514100,13757312
1547514103,13773760
1547514106,13786816
1547514109,13787904
1547514112,13788480
1547514116,13793856
1547514118,13803520
1547514121,13809856
1547514124,13794880
1547514127,13804672
1547514130,13825344
1547514133,13883776
1547514136,13903552
1547514139,13911552
1547514142,13936640
1547514145,13957504
1547514148,13959040
1547514151,13966848
1547514154,13969088
1547514157,13974272
1547514160,13977536
1547514163,13981184
1547514166,13988736
1547514169,13988736
1547514172,13988736
1547514175,13989568
1547514178,13990144
1547514181,13991616
1547514184,14007488
1547514187,14039296
1547514190,14040192
1547514193,14033600
1547514196,14009088
1547514199,14022080
1547514202,14111872
1547514205,14115840
1547514208,14123456
1547514211,14124160
1547514214,14134912
1547514218,18955392
1547514220,18936000
1547514223,18943872
1547514226,18945856
1547514229,18948672
1547514232,18956352
1547514235,19238208
1547514238,19273472
1547514241,19284608
1547514244,19307456
1547514247,19332992
1547514250,19354496
1547514253,19354496
1547514256,19663552
1547514259,19666368
1547514262,19676288
1547514265,19748288
1547514268,19748864
1547514271,19761536
1547514274,19786432
1547514277,19606016
1547514280,19606016
1547514283,19606016
1547514286,19606784
1547514289,19618048
1547514292,19622720
1547514295,19622720
1547514298,19834816
1547514301,19834816
1547514304,19842688
1547514307,19842688
1547514310,19842688
1547514313,19848768
1547514316,19817088
1547514319,19960960
1547514322,19963648
1547514325,19963648
1547514328,19963648
1547514331,19964288
1547514334,19978240
1547514337,20124864
1547514340,20177856
1547514343,20187904
1547514346,20192576
1547514349,20192576
1547514352,20192576
1547514355,20192576
1547514358,20189120
1547514361,20323456
1547514364,20332864
1547514367,20333568
1547514370,20333568
1547514373,20333568
1547514376,20337344
1547514379,20438272
1547514382,20438272
1547514385,20438272
1547514388,20452864
1547514391,20563456
1547514394,20566272
1547514397,20566272
1547514400,20713088
1547514403,20713088
