t,value
1547514008,6060928
1547514010,7109592
1547514013,8889704
1547514016,9258336
1547514019,9258336
1547514022,9451576
1547514025,9767416
1547514028,9767416
1547514031,9767416
1547514034,10047744
1547514037,10047744
1547514040,10047744
1547514043,10047744
1547514046,10047744
1547514049,10102952
1547514052,10102952
1547514055,10102952
1547514058,10102952
1547514061,10102952
1547514064,10105432
1547514067,10105432
1547514070,10105432
1547514073,10105432
1547514076,10105432
1547514079,10105432
1547514082,10105432
1547514085,10105432
1547514088,10105432
1547514091,10105432
1547514094,10105432
1547514097,10106568
1547514100,10106568
1547514103,10106568
1547514106,10106568
1547514109,10106568
1547514112,10106568
1547514116,10106568
1547514118,10106568
1547514121,10106568
1547514124,10106568
1547514127,10106568
1547514130,10106568
1547514133,10106568
1547514136,10106568
1547514139,10106568
1547514142,10106568
1547514145,10106568
1547514148,10106568
1547514151,10106568
1547514154,10106568
1547514157,10106568
1547514160,10106568
1547514163,10106568
1547514166,10106568
1547514169,10106568
1547514172,10106568
1547514175,10106568
1547514178,10106568
1547514181,10106568
1547514184,10106568
1547514187,10107704
1547514190,10107704
1547514193,10107704
1547514196,10107704
1547514199,10107704
1547514202,10108272
1547514205,10108272
1547514208,10108272
1547514211,10108272
1547514214,10128112
1547514218,10704032
1547514220,10706336
1547514223,10706336
1547514226,10706336
1547514229,10706336
1547514232,10706336
1547514235,10710080
1547514238,10710648
1547514241,10710648
1547514244,10710648
1547514247,10710648
1547514250,10710648
1547514253,10710648
1547514256,10710648
1547514259,10710648
1547514262,10710648
1547514265,10710648
1547514268,10710648
1547514271,10710648
1547514274,10710648
1547514277,10712824
1547514280,10712824
1547514283,10712824
1547514286,10712824
1547514289,10712824
1547514292,10712824
1547514295,10712824
1547514298,10713392
1547514301,10713392
1547514304,10713392
1547514307,10713392
1547514310,10713392
1547514313,10713392
1547514316,10713392
1547514319,10713392
1547514322,10713392
1547514325,10713392
1547514328,10713392
1547514331,10713392
1547514334,10713392
1547514337,10713392
1547514340,10713392
1547514343,10713392
1547514346,10713392
1547514349,10713392
1547514352,10713392
1547514355,10713392
1547514358,10713392
1547514361,10713392
1547514364,10713392
1547514367,10713392
1547514370,10713392
1547514373,10713392
1547514376,10713392
1547514379,10713960
1547514382,10713960
1547514385,10713960
1547514388,10713960
1547514391,10713960
1547514394,10713960
1547514397,10713960
1547514400,10713960
1547514403,10713960
1547514406,10713960
1547514409,10713960
1547514412,10713960
1547514415,10713960
1547514418,10713960
1547514421,10713960
1547514424,10713960
1547514427,10713960
1547514430,10713960
1547514433,10713960
1547514436,10713960
1547514439,10713960
1547514442,10713960
1547514445,10713960
1547514448,10713960
1547514451,10713960
1547514454,10713960
1547514457,10713960
1547514460,10713960
1547514463,10713960
1547514466,10713960
1547514469,10713960
1547514472,10713960
1547514475,10713960
1547514478,10713960
1547514481,10713960
1547514484,10713960
1547514487,10713960
1547514490,10713960
1547514493,10713960
1547514496,10713960
1547514499,10713960
1547514502,10713960
1547514505,10714528
1547514508,10714528
1547514511,10714528
1547514514,10714528
1547514517,10714528
1547514520,10714528
1547514523,10714528
1547514526,10747472
1547514529,10747472
1547514532,10747472
1547514535,10747472
1547514538,10747472
1547514541,10747472
1547514544,10747472
1547514547,10747472
1547514550,10747472
1547514553,10747472
1547514556,10747472
1547514559,10747472
1547514562,10747472
1547514565,10747472
1547514568,10747472
1547514571,10747472
1547514574,10747472
1547514577,10747472
1547514580,10747472
1547514583,10747472
1547514586,10747472
1547514589,10747472
1547514592,10747472
1547514595,10747472
1547514598,10747472
1547514601,10747472
1547514604,10747472
1547514607,10784104
1547514610,10784104
1547514613,10784104
1547514616,10784104
1547514619,10784104
1547514622,10784104
1547514625,10784648
1547514628,10784648
1547514631,10784648
1547514634,10784648
1547514637,10784648
1547514640,10784648
1547514643,10784648
1547514646,10784648
1547514649,10784648
1547514652,10784648
1547514655,10784648
1547514658,10784648
1547514661,10785144
1547514664,10785144
1547514667,10785144
1547514670,10785144
1547514673,10785144
1547514676,10785144
1547514679,10785144
1547514682,10785144
1547514685,10785144
1547514688,10785144
1547514691,10785144
1547514694,10785144
1547514697,10785144
1547514700,10785144
1547514703,10785144
1547514706,10785144
1547514709,10785144
1547514712,10785144
1547514715,10785144
1547514718,10785144
1547514721,10785144
1547514724,10785144
1547514727,10785144
1547514730,10785144
1547514733,10785144
1547514736,10785144
1547514739,10785144
1547514742,10785144
1547514745,10785144
1547514748,10785144
1547514751,10785144
1547514754,10785144
1547514757,10785144
1547514760,10785144
1547514763,10785144
1547514766,10785144
1547514769,10785144
1547514772,10785144
1547514775,10785144
1547514778,10785144
1547514781,10785144
1547514784,10785144
1547514787,10785144
1547514790,10785144
1547514793,10785144
1547514796,10785144
1547514799,10785144
1547514802,10785144
1547514805,10785144
1547514808,10785144
1547514811,10785144
1547514814,10785144
1547514817,10785144
1547514820,10785144
1547514823,10785144
1547514826,10785144
1547514829,10785144
1547514832,10785144
1547514835,10785144
1547514838,10785144
1547514841,10785144
1547514844,10785144
1547514847,10785144
1547514850,10785144
1547514853,10785144
1547514856,10785144
1547514859,10785144
1547514862,10785144
1547514865,10785144
1547514868,10785144
1547514871,10785144
1547514874,10785144
1547514877,10785144
1547514880,10785144
1547514883,10785144
1547514886,10785144
1547514889,10785144
1547514892,10785144
1547514895,10785144
1547514898,10785144
1547514901,10785144
1547514904,10785712
1547514907,10785712
1547514910,10785712
1547514913,10785712
1547514916,10785712
1547514919,10785712
1547514922,10785712
1547514925,10785712
1547514928,10785712
1547514931,10785712
1547514934,10785712
1547514937,10785712
1547514940,10785712
1547514943,10785712
1547514946,10785712
1547514949,10785712
1547514952,10785712
1547514955,10785712
1547514958,10785712
1547514961,10785712
1547514964,10785712
1547514967,10785712
1547514970,10785712
1547514973,10785712
1547514976,10785712
1547514979,10785712
1547514982,10785712
1547514985,10786208
1547514988,10786208
1547514991,10786208
1547514994,10786208
1547514997,10786208
1547515000,10786208
1547515003,10786208
1547515006,10786208
1547515009,10786208
1547515012,10786208
1547515015,10786208
1547515018,10786208
1547515021,10786208
1547515024,10786208
1547515027,10786208
1547515030,10786208
1547515033,10786208
1547515036,10786208
1547515039,10786208
1547515042,10786208
1547515045,10786208
1547515048,10786208
1547515051,10786208
1547515054,10786208
1547515057,10786208
1547515060,10786208
1547515063,10786208
1547515066,10786208
1547515069,10786208
1547515072,10786208
1547515075,10786208
1547515078,10786208
1547515081,10786208
1547515084,10786208
1547515087,10786208
1547515090,10786208
1547515093,10786208
1547515096,10786208
1547515099,10786208
1547515102,10786208
1547515105,10786208
1547515108,10786208
1547515111,10786208
1547515114,10786208
1547515117,10786208
1547515120,10786208
1547515123,10786208
1547515126,10786208
1547515129,10786208
1547515132,10786208
1547515135,10786208
1547515138,10786208
1547515141,10786208
1547573728,10786208
1547573729,10786688
1547573730,10786688
1547573731,10786688
1547573731,10786688
1547573732,10786688
1547573733,10786688
1547573733,10786688
1547573734,10786688
1547573734,10786688
1547573735,10786688
1547573735,10786688
1547573736,10786688
1547573736,10786688
1547573737,10786688
1547573737,10786688
1547573738,10786688
1547573738,10786688
1547573739,10786688
1547573739,10786688
1547573740,10786688
1547573740,10786688
1547573741,10786688
1547573741,10786688
1547573742,10787184
1547573742,10787184
1547573743,10787184
1547573743,10787184
1547573744,10787184
1547573744,10787184
1547573745,10787712
1547573745,10787712
1547573746,10787712
1547573746,10787712
1547573747,10787712
1547573748,10787712
1547573748,10787712
1547573749,10787712
1547573749,10787712
1547573750,10787712
1547573750,10787712
1547573751,10787712
1547573751,10787712
1547573751,10787712
1547573752,10787712
1547573752,10787712
1547573753,10787712
1547573753,10787712
1547573754,10787712
1547573754,10787712
1547573755,10787712
1547573755,10787712
1547573756,10787712
1547573756,10787712
1547573757,10787712
1547573757,10787712
1547573758,10787712
1547573758,10787712
1547573759,10787712
1547573759,10787712
1547573760,10787712
1547573760,10787712
1547573761,10787712
1547573761,10787712
1547573762,10787712
1547573762,10787712
1547573763,10787712
1547573763,10787712
1547573764,10787712
1547573764,10787712
1547573765,10787712
1547573766,10787712
1547573766,10787712
1547573767,10787712
1547573767,10787712
1547573768,10787712
1547573769,10787712
1547573769,10787712
1547573770,10787712
1547573770,10787712
1547573771,10787712
1547573772,10787712
1547573772,10787712
1547573773,10787712
1547573774,10787712
1547573774,10787712
1547573775,10787712
1547573775,10787712
1547573776,10787712
1547573776,10787712
1547573777,10787712
1547573777,10787712
1547573778,10787712
1547573779,10787712
1547573779,10787712
1547573780,10787712
1547573780,10787712
1547573780,10787712
1547573781,10787712
1547573781,10787712
1547573782,10787712
1547573782,10787712
1547573782,10787712
1547573783,10787712
1547573783,10787712
1547573784,10787712
1547573785,10787712
1547573785,10787712
1547573785,10787712
1547573786,10787712
1547573786,10787712
1547573787,10787712
1547573787,10787712
1547573788,10787712
1547573788,10787712
1547573788,10787712
1547573789,10787712
1547573789,10787712
1547573790,10787712
1547573790,10787712
1547573790,10787712
1547573791,10787712
1547573791,10787712
1547573792,10787712
1547573792,10787712
1547573792,10787712
1547573793,10787712
1547573793,10787712
1547573794,10787712
1547573795,10787712
1547573795,10787712
1547573795,10787712
1547573796,10787712
1547573796,10787712
1547573797,10787712
1547573797,10787712
1547573797,10787712
1547573798,10787712
1547573798,10787712
1547573799,10787712
1547573799,10787712
1547573799,10787712
1547573800,10787712
1547573800,10787712
1547573800,10787712
1547573801,10787712
1547573801,10787712
1547573802,10787712
1547573802,10787712
1547573802,10787712
1547573803,10787712
1547573803,10787712
1547573804,10787712
1547573804,10787712
1547573804,10787712
1547573805,10787712
1547573805,10787712
1547573806,10787712
1547573806,10787712
1547573806,10787712
1547573807,10787712
