t,value
1547514008,37748736
1547514010,4194304
1547514013,11534336
1547514016,8388608
1547514019,9437184
1547514022,19922944
1547514025,46137344
1547514028,46137344
1547514031,46137344
1547514034,73400320
1547514037,73400320
1547514040,73400320
1547514043,74448896
1547514046,74448896
1547514049,3145728
1547514052,3145728
1547514055,4194304
1547514058,4194304
1547514061,5242880
1547514064,6291456
1547514067,7340032
1547514070,7340032
1547514073,7340032
1547514076,8388608
1547514079,9437184
1547514082,9437184
1547514085,10485760
1547514088,10485760
1547514091,10485760
1547514094,11534336
1547514097,12582912
1547514100,12582912
1547514103,13631488
1547514106,13631488
1547514109,13631488
1547514112,14680064
1547514116,14680064
1547514118,15728640
1547514121,15728640
1547514124,16777216
1547514127,16777216
1547514130,17825792
1547514133,17825792
1547514136,17825792
1547514139,18874368
1547514142,18874368
1547514145,19922944
1547514148,19922944
1547514151,19922944
1547514154,20971520
1547514157,20971520
1547514160,20971520
1547514163,22020096
1547514166,22020096
1547514169,23068672
1547514172,23068672
1547514175,23068672
1547514178,24117248
1547514181,24117248
1547514184,25165824
1547514187,26214400
1547514190,26214400
1547514193,26214400
1547514196,27262976
1547514199,27262976
1547514202,28311552
1547514205,28311552
1547514208,29360128
1547514211,29360128
1547514214,31457280
1547514218,40894464
1547514220,41943040
1547514223,42991616
1547514226,42991616
1547514229,44040192
1547514232,44040192
1547514235,48234496
1547514238,48234496
1547514241,49283072
1547514244,50331648
1547514247,50331648
1547514250,50331648
1547514253,51380224
1547514256,55574528
1547514259,55574528
1547514262,56623104
1547514265,56623104
1547514268,56623104
1547514271,57671680
1547514274,57671680
1547514277,61865984
1547514280,61865984
1547514283,62914560
1547514286,62914560
1547514289,62914560
1547514292,63963136
1547514295,63963136
1547514298,1048576
1547514301,1048576
1547514304,2097152
1547514307,2097152
1547514310,3145728
1547514313,3145728
1547514316,4194304
1547514319,7340032
1547514322,7340032
1547514325,8388608
1547514328,8388608
1547514331,9437184
1547514334,9437184
1547514337,12582912
1547514340,13631488
1547514343,13631488
1547514346,14680064
1547514349,14680064
1547514352,15728640
1547514355,15728640
1547514358,19922944
1547514361,19922944
1547514364,20971520
1547514367,20971520
1547514370,22020096
1547514373,22020096
1547514376,22020096
1547514379,26214400
1547514382,26214400
1547514385,27262976
1547514388,27262976
1547514391,27262976
1547514394,28311552
1547514397,28311552
1547514400,32505856
1547514403,32505856
1547514406,33554432
1547514409,33554432
1547514412,34603008
1547514415,34603008
1547514418,34603008
1547514421,38797312
1547514424,39845888
1547514427,39845888
1547514430,40894464
1547514433,40894464
1547514436,40894464
1547514439,41943040
1547514442,45088768
1547514445,45088768
1547514448,46137344
1547514451,46137344
1547514454,47185920
1547514457,47185920
1547514460,47185920
1547514463,51380224
1547514466,51380224
1547514469,52428800
1547514472,52428800
1547514475,53477376
1547514478,53477376
1547514481,57671680
1547514484,58720256
1547514487,58720256
1547514490,59768832
1547514493,59768832
1547514496,59768832
1547514499,60817408
1547514502,60817408
1547514505,65011712
1547514508,65011712
1547514511,65011712
1547514514,66060288
1547514517,66060288
1547514520,66060288
1547514523,67108864
1547514526,3145728
1547514529,4194304
1547514532,4194304
1547514535,4194304
1547514538,5242880
1547514541,5242880
1547514544,9437184
1547514547,9437184
1547514550,10485760
1547514553,10485760
1547514556,11534336
1547514559,11534336
1547514562,12582912
1547514565,15728640
1547514568,15728640
1547514571,16777216
1547514574,16777216
1547514577,17825792
1547514580,17825792
1547514583,20971520
1547514586,22020096
1547514589,22020096
1547514592,23068672
1547514595,23068672
1547514598,23068672
1547514601,24117248
1547514604,28311552
1547514607,29360128
1547514610,29360128
1547514613,30408704
1547514616,30408704
1547514619,31457280
1547514622,31457280
1547514625,35651584
1547514628,35651584
1547514631,35651584
1547514634,36700160
1547514637,36700160
1547514640,37748736
1547514643,40894464
1547514646,40894464
1547514649,41943040
1547514652,41943040
1547514655,42991616
1547514658,42991616
1547514661,42991616
1547514664,47185920
1547514667,48234496
1547514670,48234496
1547514673,49283072
1547514676,49283072
1547514679,49283072
1547514682,50331648
1547514685,53477376
1547514688,54525952
1547514691,54525952
1547514694,55574528
1547514697,55574528
1547514700,55574528
1547514703,59768832
1547514706,59768832
1547514709,60817408
1547514712,60817408
1547514715,60817408
1547514718,61865984
1547514721,61865984
1547514724,66060288
1547514727,66060288
1547514730,67108864
1547514733,67108864
1547514736,68157440
1547514739,68157440
1547514742,68157440
1547514745,2097152
1547514748,2097152
1547514751,3145728
1547514754,3145728
1547514757,4194304
1547514760,4194304
1547514763,7340032
1547514766,8388608
1547514769,9437184
1547514772,9437184
1547514775,9437184
1547514778,10485760
1547514781,10485760
1547514784,14680064
1547514787,15728640
1547514790,15728640
1547514793,15728640
1547514796,16777216
1547514799,16777216
1547514802,17825792
1547514805,20971520
1547514808,20971520
1547514811,22020096
1547514814,22020096
1547514817,22020096
1547514820,23068672
1547514823,26214400
1547514826,27262976
1547514829,27262976
1547514832,27262976
1547514835,28311552
1547514838,28311552
1547514841,28311552
1547514844,33554432
1547514847,33554432
1547514850,34603008
1547514853,34603008
1547514856,34603008
1547514859,34603008
1547514862,35651584
1547514865,38797312
1547514868,39845888
1547514871,39845888
1547514874,39845888
1547514877,40894464
1547514880,40894464
1547514883,45088768
1547514886,45088768
1547514889,45088768
1547514892,46137344
1547514895,46137344
1547514898,47185920
1547514901,47185920
1547514904,51380224
1547514907,52428800
1547514910,52428800
1547514913,52428800
1547514916,53477376
1547514919,53477376
1547514922,53477376
1547514925,57671680
1547514928,57671680
1547514931,57671680
1547514934,58720256
1547514937,58720256
1547514940,58720256
1547514943,62914560
1547514946,63963136
1547514949,63963136
1547514952,63963136
1547514955,65011712
1547514958,65011712
1547514961,65011712
1547514964,69206016
1547514967,69206016
1547514970,0
1547514973,0
1547514976,1048576
1547514979,1048576
1547514982,1048576
1547514985,6291456
1547514988,6291456
1547514991,6291456
1547514994,7340032
1547514997,7340032
1547515000,7340032
1547515003,11534336
1547515006,11534336
1547515009,12582912
1547515012,12582912
1547515015,12582912
1547515018,13631488
1547515021,13631488
1547515024,14680064
1547515027,14680064
1547515030,15728640
1547515033,15728640
1547515036,15728640
1547515039,16777216
1547515042,16777216
1547515045,16777216
1547515048,17825792
1547515051,17825792
1547515054,18874368
1547515057,18874368
1547515060,18874368
1547515063,19922944
1547515066,19922944
1547515069,19922944
1547515072,20971520
1547515075,20971520
1547515078,20971520
1547515081,22020096
1547515084,23068672
1547515087,23068672
1547515090,23068672
1547515093,24117248
1547515096,24117248
1547515099,24117248
1547515102,25165824
1547515105,25165824
1547515108,25165824
1547515111,26214400
1547515114,26214400
1547515117,27262976
1547515120,27262976
1547515123,27262976
1547515126,28311552
1547515129,28311552
1547515132,28311552
1547515135,29360128
1547515138,29360128
1547515141,29360128
1547573728,28311552
1547573729,32505856
1547573730,35651584
1547573731,39845888
1547573731,44040192
1547573732,50331648
1547573733,53477376
1547573733,56623104
1547573734,59768832
1547573734,62914560
1547573735,67108864
1547573735,0
1547573736,4194304
1547573736,7340032
1547573737,11534336
1547573737,14680064
1547573738,18874368
1547573738,23068672
1547573739,26214400
1547573739,29360128
1547573740,33554432
1547573740,36700160
1547573741,39845888
1547573741,44040192
1547573742,48234496
1547573742,51380224
1547573743,55574528
1547573743,59768832
1547573744,62914560
1547573744,0
1547573745,4194304
1547573745,8388608
1547573746,12582912
1547573746,17825792
1547573747,22020096
1547573748,24117248
1547573748,24117248
1547573749,24117248
1547573749,27262976
1547573750,29360128
1547573750,32505856
1547573751,33554432
1547573751,33554432
1547573751,33554432
1547573752,35651584
1547573752,37748736
1547573753,38797312
1547573753,40894464
1547573754,45088768
1547573754,49283072
1547573755,52428800
1547573755,56623104
1547573756,60817408
1547573756,63963136
1547573757,68157440
1547573757,3145728
1547573758,7340032
1547573758,11534336
1547573759,14680064
1547573759,18874368
1547573760,22020096
1547573760,26214400
1547573761,30408704
1547573761,33554432
1547573762,37748736
1547573762,40894464
1547573763,44040192
1547573763,47185920
1547573764,51380224
1547573764,55574528
1547573765,60817408
1547573766,65011712
1547573766,2097152
1547573767,6291456
1547573767,11534336
1547573768,15728640
1547573769,20971520
1547573769,25165824
1547573770,29360128
1547573770,34603008
1547573771,39845888
1547573772,44040192
1547573772,48234496
1547573773,52428800
1547573774,57671680
1547573774,61865984
1547573775,0
1547573775,4194304
1547573776,9437184
1547573776,13631488
1547573777,17825792
1547573777,23068672
1547573778,27262976
1547573779,31457280
1547573779,35651584
1547573780,39845888
1547573780,39845888
1547573780,40894464
1547573781,40894464
1547573781,40894464
1547573782,41943040
1547573782,41943040
1547573782,41943040
1547573783,42991616
1547573783,42991616
1547573784,44040192
1547573785,44040192
1547573785,44040192
1547573785,45088768
1547573786,45088768
1547573786,45088768
1547573787,46137344
1547573787,46137344
1547573788,46137344
1547573788,47185920
1547573788,47185920
1547573789,48234496
1547573789,48234496
1547573790,48234496
1547573790,49283072
1547573790,49283072
1547573791,49283072
1547573791,50331648
1547573792,50331648
1547573792,50331648
1547573792,51380224
1547573793,51380224
1547573793,51380224
1547573794,52428800
1547573795,52428800
1547573795,53477376
1547573795,53477376
1547573796,53477376
1547573796,54525952
1547573797,54525952
1547573797,54525952
1547573797,55574528
1547573798,55574528
1547573798,55574528
1547573799,56623104
1547573799,56623104
1547573799,57671680
1547573800,57671680
1547573800,57671680
1547573800,58720256
1547573801,58720256
1547573801,58720256
1547573802,59768832
1547573802,59768832
1547573802,59768832
1547573803,60817408
1547573803,60817408
1547573804,61865984
1547573804,61865984
1547573804,61865984
1547573805,62914560
1547573805,62914560
1547573806,62914560
1547573806,63963136
1547573806,63963136
1547573807,63963136
1547573807,65011712
1547573808,65011712
1547573808,66060288
1547573808,66060288
1547573809,66060288
1547573810,67108864
1547573810,67108864
1547573810,67108864
1547573811,68157440
1547573811,68157440
1547573812,68157440
1547573812,0
1547573812,0
1547573813,1048576
1547573813,1048576
1547573814,1048576
1547573814,2097152
1547573814,2097152
1547573815,2097152
1547573815,3145728
1547573816,3145728
1547573816,3145728
1547573816,4194304
1547573817,5242880
1547573817,5242880
1547573818,5242880
1547573818,6291456
1547573818,6291456
1547573819,6291456
1547573819,7340032
1547573820,7340032
1547573820,7340032
1547573821,8388608
1547573821,8388608
1547573822,9437184
1547573822,9437184
1547573822,9437184
1547573823,10485760
1547573823,10485760
1547573824,10485760
1547573824,11534336
1547573825,11534336
1547573825,11534336
1547573825,12582912
1547573826,12582912
1547573826,13631488
1547573827,13631488
1547573827,13631488
1547573827,14680064
1547573828,14680064
1547573828,14680064
1547573829,15728640
1547573829,15728640
1547573830,15728640
1547573830,16777216
1547573831,16777216
1547573831,16777216
1547573831,17825792
1547573832,17825792
1547573832,18874368
1547573833,18874368
1547573833,18874368
1547573834,19922944
1547573834,19922944
