t,value
1547514008,31873040
1547514010,31873024
1547514013,29360136
1547514016,34907648
1547514019,34907648
1547514022,34907648
1547514025,34907648
1547514028,34907648
1547514031,34907648
1547514034,34907648
1547514037,34907648
1547514040,34907648
1547514043,34907648
1547514046,34907648
1547514049,34828896
1547514052,34828896
1547514055,34828896
1547514058,34828896
1547514061,34828896
1547514064,34828896
1547514067,34828896
1547514070,34828896
1547514073,34828896
1547514076,34828896
1547514079,34828896
1547514082,34828896
1547514085,34828896
1547514088,34828896
1547514091,34828896
1547514094,34828896
1547514097,34828896
1547514100,34828896
1547514103,34828896
1547514106,34828896
1547514109,34828896
1547514112,34828896
1547514116,34828896
1547514118,34828896
1547514121,34828896
1547514124,34828896
1547514127,34828896
1547514130,34828896
1547514133,34828896
1547514136,34828896
1547514139,34828896
1547514142,34828896
1547514145,34828896
1547514148,34828896
1547514151,34828896
1547514154,34828896
1547514157,34828896
1547514160,34828896
1547514163,34828896
1547514166,34828896
1547514169,34828896
1547514172,34828896
1547514175,34828896
1547514178,34828896
1547514181,34828896
1547514184,34828896
1547514187,34828896
1547514190,34828896
1547514193,34828896
1547514196,34828896
1547514199,34828896
1547514202,34828896
1547514205,34828896
1547514208,34828896
1547514211,34828896
1547514214,34828896
1547514218,34383368
1547514220,34383368
1547514223,34383368
1547514226,34383368
1547514229,34383368
1547514232,34383368
1547514235,34383368
1547514238,34383368
1547514241,34383368
1547514244,34383368
1547514247,34383368
1547514250,34383368
1547514253,34383368
1547514256,34383368
1547514259,34383368
1547514262,34383368
1547514265,34383368
1547514268,34383368
1547514271,34383368
1547514274,34383368
1547514277,34383368
1547514280,34383368
1547514283,34383368
1547514286,34383368
1547514289,34383368
1547514292,34383368
1547514295,34383368
1547514298,34907648
1547514301,34907648
1547514304,34907648
1547514307,34907648
1547514310,34907648
1547514313,34907648
1547514316,34907648
1547514319,34907648
1547514322,34907648
1547514325,34907648
1547514328,34907648
1547514331,34907648
1547514334,34907648
1547514337,34907648
1547514340,34907648
1547514343,34907648
1547514346,34907648
1547514349,34907648
1547514352,34907648
1547514355,34907648
1547514358,34907648
1547514361,34907648
1547514364,34907648
1547514367,34907648
1547514370,34907648
1547514373,34907648
1547514376,34907648
1547514379,34907648
1547514382,34907648
1547514385,34907648
1547514388,34907648
1547514391,34907648
1547514394,34907648
1547514397,34907648
1547514400,34907648
1547514403,34907648
1547514406,34907648
1547514409,34907648
1547514412,34907648
1547514415,34907648
1547514418,34907648
1547514421,34907648
1547514424,34907648
1547514427,34907648
1547514430,34907648
1547514433,34907648
