t,value
1547514008,2097152
1547514010,8388608
1547514013,6291456
1547514016,2097152
1547514019,2097152
1547514022,2097152
1547514025,2097152
1547514028,2097152
1547514031,2097152
1547514034,2097152
1547514037,2097152
1547514040,2097152
1547514043,2097152
1547514046,2097152
1547514049,9437184
1547514052,9437184
1547514055,9437184
1547514058,9437184
1547514061,9437184
1547514064,9437184
1547514067,9437184
1547514070,9437184
1547514073,9437184
1547514076,9437184
1547514079,9437184
1547514082,9437184
1547514085,9437184
1547514088,9437184
1547514091,9437184
1547514094,9437184
1547514097,9437184
1547514100,9437184
1547514103,9437184
1547514106,9437184
1547514109,9437184
1547514112,9437184
1547514116,9437184
1547514118,9437184
1547514121,9437184
1547514124,9437184
1547514127,9437184
1547514130,9437184
1547514133,9437184
1547514136,9437184
1547514139,9437184
1547514142,9437184
1547514145,9437184
1547514148,9437184
1547514151,9437184
1547514154,9437184
1547514157,9437184
1547514160,9437184
1547514163,9437184
1547514166,9437184
1547514169,9437184
1547514172,9437184
1547514175,9437184
1547514178,9437184
1547514181,9437184
1547514184,9437184
1547514187,9437184
1547514190,9437184
1547514193,9437184
1547514196,9437184
1547514199,9437184
1547514202,9437184
1547514205,9437184
1547514208,9437184
1547514211,9437184
1547514214,9437184
1547514218,8388608
1547514220,8388608
1547514223,8388608
1547514226,8388608
1547514229,8388608
1547514232,8388608
1547514235,8388608
1547514238,8388608
1547514241,8388608
1547514244,8388608
1547514247,8388608
1547514250,8388608
1547514253,8388608
1547514256,8388608
1547514259,8388608
1547514262,8388608
1547514265,8388608
1547514268,8388608
1547514271,8388608
1547514274,8388608
1547514277,8388608
1547514280,8388608
1547514283,8388608
1547514286,8388608
1547514289,8388608
1547514292,8388608
1547514295,8388608
1547514298,8388608
1547514301,8388608
1547514304,8388608
1547514307,8388608
1547514310,8388608
1547514313,8388608
1547514316,8388608
1547514319,8388608
1547514322,8388608
1547514325,8388608
1547514328,8388608
1547514331,8388608
1547514334,8388608
1547514337,8388608
1547514340,8388608
1547514343,8388608
1547514346,8388608
1547514349,8388608
1547514352,8388608
1547514355,8388608
1547514358,8388608
1547514361,8388608
1547514364,8388608
1547514367,8388608
1547514370,8388608
1547514373,8388608
1547514376,8388608
1547514379,8388608
1547514382,8388608
1547514385,8388608
1547514388,8388608
1547514391,8388608
1547514394,8388608
1547514397,8388608
1547514400,8388608
1547514403,8388608
1547514406,8388608
1547514409,8388608
1547514412,8388608
1547514415,8388608
1547514418,8388608
1547514421,8388608
1547514424,8388608
1547514427,8388608
1547514430,8388608
1547514433,8388608
1547514436,8388608
1547514439,8388608
1547514442,8388608
1547514445,8388608
1547514448,8388608
1547514451,8388608
1547514454,8388608
1547514457,8388608
1547514460,8388608
1547514463,8388608
1547514466,8388608
1547514469,8388608
1547514472,8388608
1547514475,8388608
1547514478,8388608
1547514481,8388608
1547514484,8388608
1547514487,8388608
1547514490,8388608
1547514493,8388608
1547514496,8388608
1547514499,8388608
1547514502,8388608
1547514505,8388608
1547514508,8388608
1547514511,8388608
1547514514,8388608
1547514517,8388608
1547514520,8388608
1547514523,6291456
1547514526,6291456
1547514529,6291456
1547514532,6291456
1547514535,6291456
1547514538,6291456
1547514541,6291456
1547514544,6291456
1547514547,6291456
1547514550,6291456
1547514553,6291456
1547514556,6291456
1547514559,6291456
1547514562,6291456
1547514565,6291456
1547514568,6291456
1547514571,6291456
1547514574,6291456
1547514577,6291456
1547514580,6291456
1547514583,6291456
1547514586,6291456
1547514589,6291456
1547514592,6291456
1547514595,6291456
1547514598,6291456
1547514601,6291456
1547514604,6291456
1547514607,6291456
1547514610,6291456
1547514613,6291456
1547514616,6291456
1547514619,6291456
1547514622,6291456
1547514625,6291456
1547514628,6291456
1547514631,6291456
1547514634,6291456
1547514637,6291456
1547514640,6291456
1547514643,6291456
1547514646,6291456
1547514649,6291456
1547514652,6291456
1547514655,6291456
1547514658,6291456
1547514661,6291456
1547514664,6291456
1547514667,6291456
1547514670,6291456
1547514673,6291456
1547514676,6291456
1547514679,6291456
1547514682,6291456
1547514685,6291456
1547514688,6291456
1547514691,6291456
1547514694,6291456
1547514697,6291456
1547514700,6291456
1547514703,6291456
1547514706,6291456
1547514709,6291456
1547514712,6291456
1547514715,6291456
1547514718,6291456
1547514721,6291456
1547514724,6291456
1547514727,6291456
1547514730,6291456
1547514733,6291456
1547514736,6291456
1547514739,6291456
1547514742,6291456
1547514745,6291456
1547514748,6291456
1547514751,6291456
1547514754,6291456
1547514757,6291456
1547514760,6291456
1547514763,6291456
1547514766,6291456
1547514769,6291456
1547514772,6291456
1547514775,6291456
1547514778,6291456
1547514781,6291456
1547514784,6291456
1547514787,6291456
1547514790,6291456
1547514793,6291456
1547514796,6291456
1547514799,6291456
1547514802,6291456
1547514805,6291456
1547514808,6291456
1547514811,6291456
1547514814,6291456
1547514817,6291456
1547514820,6291456
1547514823,6291456
1547514826,6291456
1547514829,6291456
1547514832,6291456
1547514835,6291456
1547514838,6291456
1547514841,6291456
1547514844,6291456
1547514847,6291456
1547514850,6291456
1547514853,6291456
1547514856,6291456
1547514859,6291456
1547514862,6291456
1547514865,6291456
1547514868,6291456
1547514871,6291456
1547514874,6291456
1547514877,6291456
1547514880,6291456
1547514883,6291456
1547514886,6291456
1547514889,6291456
1547514892,6291456
1547514895,6291456
1547514898,6291456
1547514901,6291456
1547514904,6291456
1547514907,6291456
1547514910,6291456
1547514913,6291456
1547514916,6291456
1547514919,6291456
1547514922,6291456
1547514925,6291456
1547514928,6291456
1547514931,6291456
1547514934,6291456
1547514937,6291456
1547514940,6291456
1547514943,6291456
1547514946,6291456
1547514949,6291456
1547514952,6291456
1547514955,6291456
1547514958,6291456
1547514961,6291456
1547514964,6291456
1547514967,6291456
1547514970,5242880
1547514973,5242880
1547514976,5242880
1547514979,5242880
1547514982,5242880
1547514985,5242880
1547514988,5242880
1547514991,5242880
1547514994,5242880
1547514997,5242880
1547515000,5242880
1547515003,5242880
1547515006,5242880
1547515009,5242880
1547515012,5242880
1547515015,5242880
1547515018,5242880
1547515021,5242880
1547515024,5242880
1547515027,5242880
1547515030,5242880
1547515033,5242880
1547515036,5242880
1547515039,5242880
1547515042,5242880
1547515045,5242880
1547515048,5242880
1547515051,5242880
1547515054,5242880
1547515057,5242880
1547515060,5242880
1547515063,5242880
1547515066,5242880
1547515069,5242880
1547515072,5242880
1547515075,5242880
1547515078,5242880
1547515081,5242880
1547515084,5242880
1547515087,5242880
1547515090,5242880
1547515093,5242880
1547515096,5242880
1547515099,5242880
1547515102,5242880
1547515105,5242880
1547515108,5242880
1547515111,5242880
1547515114,5242880
1547515117,5242880
1547515120,5242880
1547515123,5242880
1547515126,5242880
1547515129,5242880
1547515132,5242880
1547515135,5242880
1547515138,5242880
1547515141,5242880
1547573728,6291456
1547573729,6291456
1547573730,6291456
1547573731,6291456
1547573731,6291456
1547573732,6291456
1547573733,6291456
1547573733,6291456
1547573734,6291456
1547573734,6291456
1547573735,6291456
1547573735,8388608
1547573736,8388608
1547573736,8388608
1547573737,8388608
1547573737,8388608
1547573738,8388608
1547573738,8388608
1547573739,8388608
1547573739,8388608
1547573740,8388608
1547573740,8388608
1547573741,8388608
1547573741,8388608
1547573742,8388608
1547573742,8388608
1547573743,8388608
1547573743,8388608
1547573744,8388608
1547573744,5242880
1547573745,5242880
1547573745,5242880
1547573746,5242880
1547573746,5242880
1547573747,5242880
1547573748,5242880
1547573748,5242880
1547573749,5242880
1547573749,5242880
1547573750,5242880
1547573750,5242880
1547573751,5242880
1547573751,5242880
1547573751,5242880
1547573752,5242880
1547573752,5242880
1547573753,5242880
1547573753,5242880
1547573754,5242880
1547573754,5242880
1547573755,5242880
1547573755,5242880
1547573756,5242880
1547573756,5242880
1547573757,6291456
1547573757,6291456
1547573758,6291456
1547573758,6291456
1547573759,6291456
1547573759,6291456
1547573760,6291456
1547573760,6291456
1547573761,6291456
1547573761,6291456
1547573762,6291456
1547573762,6291456
1547573763,6291456
1547573763,6291456
1547573764,6291456
1547573764,6291456
1547573765,6291456
1547573766,6291456
1547573766,6291456
1547573767,6291456
1547573767,6291456
1547573768,6291456
1547573769,6291456
1547573769,6291456
1547573770,6291456
1547573770,6291456
1547573771,6291456
1547573772,6291456
1547573772,6291456
1547573773,6291456
1547573774,6291456
1547573774,6291456
1547573775,5242880
1547573775,5242880
1547573776,5242880
1547573776,5242880
1547573777,5242880
1547573777,5242880
1547573778,5242880
1547573779,5242880
1547573779,5242880
1547573780,5242880
1547573780,5242880
1547573780,5242880
1547573781,5242880
1547573781,5242880
1547573782,5242880
1547573782,5242880
1547573782,5242880
1547573783,5242880
1547573783,5242880
1547573784,5242880
1547573785,5242880
1547573785,5242880
1547573785,5242880
1547573786,5242880
1547573786,5242880
1547573787,5242880
1547573787,5242880
1547573788,5242880
1547573788,5242880
1547573788,5242880
1547573789,5242880
1547573789,5242880
1547573790,5242880
1547573790,5242880
1547573790,5242880
1547573791,5242880
1547573791,5242880
1547573792,5242880
1547573792,5242880
1547573792,5242880
1547573793,5242880
1547573793,5242880
1547573794,5242880
1547573795,5242880
1547573795,5242880
1547573795,5242880
1547573796,5242880
1547573796,5242880
1547573797,5242880
1547573797,5242880
1547573797,5242880
1547573798,5242880
1547573798,5242880
1547573799,5242880
1547573799,5242880
1547573799,5242880
1547573800,5242880
1547573800,5242880
1547573800,5242880
1547573801,5242880
1547573801,5242880
1547573802,5242880
1547573802,5242880
1547573802,5242880
1547573803,5242880
1547573803,5242880
1547573804,5242880
1547573804,5242880
1547573804,5242880
1547573805,5242880
1547573805,5242880
1547573806,5242880
1547573806,5242880
1547573806,5242880
1547573807,5242880
1547573807,5242880
1547573808,5242880
1547573808,5242880
1547573808,5242880
