t,value
1547514008,43231344
1547514010,48631968
1547514013,60457840
1547514016,63151240
1547514019,63159848
1547514022,64559016
1547514025,66697440
1547514028,66711080
1547514031,66775224
1547514034,68454672
1547514037,68457640
1547514040,68460216
1547514043,68465008
1547514046,68470520
1547514049,68827104
1547514052,68842032
1547514055,68843328
1547514058,68843936
1547514061,68850576
1547514064,68870768
1547514067,68873760
1547514070,68873760
1547514073,68876120
1547514076,68883248
1547514079,68922432
1547514082,68922432
1547514085,68924240
1547514088,68924240
1547514091,68925368
1547514094,68926520
1547514097,68948472
1547514100,68949088
1547514103,68949392
1547514106,68952008
1547514109,68952008
1547514112,68952008
1547514116,68952824
1547514118,68955872
1547514121,68955872
1547514124,68957144
1547514127,68965856
1547514130,68970592
1547514133,68974920
1547514136,68980328
1547514139,68982680
1547514142,68983920
1547514145,68985816
1547514148,68986168
1547514151,68986472
1547514154,68986472
1547514157,68988160
1547514160,68989120
1547514163,68990248
1547514166,68990624
1547514169,68990624
1547514172,68990624
1547514175,68990968
1547514178,68990968
1547514181,68991440
1547514184,68994832
1547514187,69014560
1547514190,69014952
1547514193,69016552
1547514196,69017040
1547514199,69018888
1547514202,69045312
1547514205,69045312
1547514208,69046448
1547514211,69046448
1547514214,69199952
1547514218,72945400
1547514220,72971512
1547514223,72972688
1547514226,72972688
1547514229,72973400
1547514232,72973400
1547514235,73059280
1547514238,73068096
1547514241,73070744
1547514244,73075792
1547514247,73076168
1547514250,73076560
1547514253,73076560
1547514256,73146648
1547514259,73147400
1547514262,73150424
1547514265,73158456
1547514268,73158456
1547514271,73162264
1547514274,73164376
1547514277,73210552
1547514280,73210552
1547514283,73210552
1547514286,73210584
1547514289,73210584
1547514292,73212256
1547514295,73212256
1547514298,73269696
1547514301,73269696
1547514304,73270624
1547514307,73270624
1547514310,73270624
1547514313,73271544
1547514316,73279416
1547514319,73312872
1547514322,73313416
1547514325,73313416
1547514328,73313416
1547514331,73313416
1547514334,73316536
1547514337,73345872
1547514340,73358264
1547514343,73359632
1547514346,73359632
1547514349,73359632
1547514352,73359632
1547514355,73359632
1547514358,73387080
1547514361,73412296
1547514364,73416440
1547514367,73416440
1547514370,73416440
1547514373,73416440
1547514376,73417568
1547514379,73459496
1547514382,73459496
1547514385,73459496
1547514388,73462184
1547514391,73475880
1547514394,73477128
1547514397,73477128
1547514400,73508448
1547514403,73508448
1547514406,73508448
1547514409,73508448
1547514412,73508448
1547514415,73508448
1547514418,73508448
1547514421,73551184
1547514424,73556384
1547514427,73556384
1547514430,73558816
1547514433,73559632
1547514436,73559632
1547514439,73559632
1547514442,73600936
1547514445,73600936
1547514448,73605152
1547514451,73605152
1547514454,73605152
1547514457,73605152
1547514460,73605152
1547514463,73624896
1547514466,73624896
1547514469,73624896
1547514472,73624896
1547514475,73624896
1547514478,73624896
1547514481,73646312
1547514484,73661864
1547514487,73661864
1547514490,73661864
1547514493,73661864
1547514496,73661864
1547514499,73661864
1547514502,73662728
1547514505,73670528
1547514508,73670528
1547514511,73670528
1547514514,73674016
1547514517,73674016
1547514520,73674672
1547514523,73694024
1547514526,73919824
1547514529,73919824
1547514532,73919824
1547514535,73919824
1547514538,73919824
1547514541,73919824
1547514544,73962528
1547514547,73963064
1547514550,73963064
1547514553,73963064
1547514556,73963064
1547514559,73963064
1547514562,73963064
1547514565,73981760
1547514568,73981760
1547514571,73981760
1547514574,73982464
1547514577,73982464
1547514580,73982464
1547514583,74000672
1547514586,74010544
1547514589,74010544
1547514592,74010544
1547514595,74010544
1547514598,74010544
1547514601,74010544
1547514604,74024352
1547514607,74313832
1547514610,74314056
1547514613,74314056
1547514616,74314248
1547514619,74314248
1547514622,74314248
1547514625,74335592
1547514628,74335592
1547514631,74335592
1547514634,74335592
1547514637,74335592
1547514640,74335592
1547514643,74344128
1547514646,74348744
1547514649,74348744
1547514652,74348744
1547514655,74348744
1547514658,74348744
1547514661,74349480
1547514664,74357816
1547514667,74357816
1547514670,74357816
1547514673,74358200
1547514676,74358200
1547514679,74358944
1547514682,74358944
1547514685,74371784
1547514688,74373896
1547514691,74373896
1547514694,74373896
1547514697,74374328
1547514700,74382328
1547514703,74402240
1547514706,74405304
1547514709,74405304
1547514712,74405304
1547514715,74405304
1547514718,74405304
1547514721,74405304
1547514724,74418008
1547514727,74418008
1547514730,74418008
1547514733,74418008
1547514736,74418008
1547514739,74418008
1547514742,74418008
1547514745,74422784
1547514748,74422784
1547514751,74422784
1547514754,74422784
1547514757,74422784
1547514760,74422784
1547514763,74427560
1547514766,74441288
1547514769,74444168
1547514772,74457176
1547514775,74458776
1547514778,74459904
1547514781,74459904
1547514784,74473992
1547514787,74473992
1547514790,74473992
1547514793,74474424
1547514796,74474424
1547514799,74474424
1547514802,74474424
1547514805,74476896
1547514808,74476896
1547514811,74476896
1547514814,74476896
1547514817,74476896
1547514820,74476896
1547514823,74492128
1547514826,74492512
1547514829,74492512
1547514832,74492512
1547514835,74492512
1547514838,74492512
1547514841,74492512
1547514844,74521672
1547514847,74521672
1547514850,74521672
1547514853,74521672
1547514856,74521672
1547514859,74521672
1547514862,74521672
1547514865,74532552
1547514868,74532552
1547514871,74532552
1547514874,74532552
1547514877,74532552
1547514880,74532552
1547514883,74537056
1547514886,74539240
1547514889,74539240
1547514892,74539240
1547514895,74539240
1547514898,74539240
1547514901,74539240
1547514904,74561928
1547514907,74561928
1547514910,74561928
1547514913,74561928
1547514916,74561928
1547514919,74561928
1547514922,74561928
1547514925,74565008
1547514928,74565008
1547514931,74565008
1547514934,74565008
1547514937,74565008
1547514940,74565008
1547514943,74568904
1547514946,74569696
1547514949,74569696
1547514952,74569696
1547514955,74569696
1547514958,74569696
1547514961,74569696
1547514964,74592752
1547514967,74592752
1547514970,74593672
1547514973,74593672
1547514976,74593672
1547514979,74593672
1547514982,74593672
1547514985,74605688
1547514988,74605688
1547514991,74605688
1547514994,74605688
1547514997,74605688
1547515000,74605688
1547515003,74608800
1547515006,74610760
1547515009,74610760
1547515012,74610760
1547515015,74610760
1547515018,74610760
1547515021,74610760
1547515024,74610760
1547515027,74610760
1547515030,74610760
1547515033,74610760
1547515036,74612392
1547515039,74612392
1547515042,74612392
1547515045,74612392
1547515048,74612392
1547515051,74612392
1547515054,74612392
1547515057,74612392
1547515060,74612392
1547515063,74612392
1547515066,74612392
1547515069,74612392
1547515072,74612392
1547515075,74612392
1547515078,74612392
1547515081,74612392
1547515084,74612392
1547515087,74612392
