t,value
1547514008,28
1547514010,28
1547514013,39
1547514016,40
1547514019,39
1547514022,42
1547514025,43
1547514028,43
1547514031,44
1547514034,46
1547514037,46
1547514040,44
1547514043,44
1547514046,44
1547514049,47
1547514052,47
1547514055,45
1547514058,45
1547514061,45
1547514064,45
1547514067,45
1547514070,45
1547514073,45
1547514076,46
1547514079,48
1547514082,48
1547514085,48
1547514088,48
1547514091,48
1547514094,48
1547514097,49
1547514100,49
1547514103,49
1547514106,49
1547514109,49
1547514112,49
1547514116,49
1547514118,49
1547514121,49
1547514124,49
1547514127,49
1547514130,49
1547514133,49
1547514136,49
1547514139,49
1547514142,49
1547514145,49
1547514148,49
1547514151,49
1547514154,49
1547514157,49
1547514160,49
1547514163,49
1547514166,49
1547514169,49
1547514172,49
1547514175,49
1547514178,49
1547514181,49
1547514184,49
1547514187,49
1547514190,49
1547514193,49
1547514196,49
1547514199,49
1547514202,51
1547514205,51
1547514208,50
1547514211,50
1547514214,51
1547514218,56
1547514220,55
1547514223,54
1547514226,53
1547514229,52
1547514232,51
1547514235,51
1547514238,51
1547514241,51
1547514244,50
1547514247,50
1547514250,50
1547514253,50
1547514256,53
1547514259,53
1547514262,52
1547514265,52
1547514268,51
1547514271,51
1547514274,50
1547514277,50
1547514280,50
1547514283,50
1547514286,49
1547514289,49
1547514292,49
1547514295,49
1547514298,50
1547514301,50
1547514304,50
1547514307,49
1547514310,49
1547514313,49
1547514316,50
1547514319,50
1547514322,50
1547514325,50
1547514328,49
1547514331,49
1547514334,49
1547514337,49
1547514340,49
1547514343,49
1547514346,48
1547514349,48
1547514352,48
1547514355,48
1547514358,49
1547514361,49
1547514364,49
1547514367,48
1547514370,48
1547514373,48
1547514376,48
1547514379,49
1547514382,49
1547514385,49
1547514388,48
1547514391,48
1547514394,48
1547514397,48
1547514400,49
1547514403,49
1547514406,49
1547514409,48
1547514412,48
1547514415,48
1547514418,48
1547514421,49
1547514424,49
1547514427,49
1547514430,48
1547514433,48
1547514436,48
1547514439,48
1547514442,49
1547514445,49
1547514448,49
1547514451,48
1547514454,48
1547514457,48
1547514460,48
1547514463,49
1547514466,49
1547514469,49
1547514472,48
1547514475,48
1547514478,48
1547514481,49
1547514484,49
1547514487,49
1547514490,48
1547514493,48
1547514496,48
1547514499,48
1547514502,48
1547514505,49
1547514508,49
1547514511,49
1547514514,48
1547514517,48
1547514520,48
1547514523,49
1547514526,49
1547514529,49
1547514532,48
1547514535,48
1547514538,48
1547514541,48
1547514544,49
1547514547,49
1547514550,49
1547514553,48
1547514556,48
1547514559,48
1547514562,48
1547514565,49
1547514568,49
1547514571,49
1547514574,48
1547514577,48
1547514580,48
1547514583,50
1547514586,50
1547514589,50
1547514592,49
1547514595,49
1547514598,48
1547514601,48
1547514604,49
1547514607,50
1547514610,50
1547514613,49
1547514616,48
1547514619,48
1547514622,48
1547514625,49
1547514628,49
1547514631,49
1547514634,48
1547514637,48
1547514640,48
1547514643,49
1547514646,49
1547514649,49
1547514652,48
1547514655,48
1547514658,48
1547514661,48
1547514664,49
1547514667,49
1547514670,49
1547514673,48
1547514676,48
1547514679,48
1547514682,48
1547514685,49
1547514688,49
1547514691,49
1547514694,48
1547514697,48
1547514700,48
1547514703,51
1547514706,51
1547514709,50
